lemma,language_code,status
3000 is a very powerful tool and will help,en,PENDING
86% of the language. this means that by,en,PENDING
"a indefinite article,",en,PENDING
"a range of different meanings, a variety of",en,PENDING
a variety of situations. not only are the words,en,PENDING
a word involves more than simply being able,en,PENDING
abando,en,PENDING
ability,en,PENDING
able,en,PENDING
about,en,PENDING
"about the most frequent words in english, but",en,PENDING
above,en,PENDING
abroad,en,PENDING
absence,en,PENDING
absolute,en,PENDING
absolutely,en,PENDING
absorb,en,PENDING
abuse,en,PENDING
academic,en,PENDING
accept,en,PENDING
acceptable,en,PENDING
access,en,PENDING
accident,en,PENDING
accommodatio,en,PENDING
accompany,en,PENDING
according to,en,PENDING
account,en,PENDING
accurate,en,PENDING
accuse,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
acid,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
across,en,PENDING
act,en,PENDING
actio,en,PENDING
active,en,PENDING
activist,en,PENDING
activity,en,PENDING
actor,en,PENDING
actual,en,PENDING
actually,en,PENDING
ad,en,PENDING
adapt,en,PENDING
add,en,PENDING
additio,en,PENDING
additional,en,PENDING
address,en,PENDING
adequate,en,PENDING
adjust,en,PENDING
administratio,en,PENDING
administrative,en,PENDING
admire,en,PENDING
admissio,en,PENDING
admit,en,PENDING
adopt,en,PENDING
adult,en,PENDING
advance,en,PENDING
advanced,en,PENDING
advantage,en,PENDING
advert,en,PENDING
advertise,en,PENDING
advertisement,en,PENDING
advertising,en,PENDING
advice,en,PENDING
advise,en,PENDING
adviser,en,PENDING
affair,en,PENDING
affect,en,PENDING
afford,en,PENDING
afraid,en,PENDING
after,en,PENDING
afternoo,en,PENDING
afterwards,en,PENDING
agai,en,PENDING
against,en,PENDING
age,en,PENDING
aged,en,PENDING
agency,en,PENDING
agent,en,PENDING
aggressive,en,PENDING
ago,en,PENDING
agree,en,PENDING
agreement,en,PENDING
agriculture,en,PENDING
ahead,en,PENDING
aid,en,PENDING
aim,en,PENDING
air,en,PENDING
aircraft,en,PENDING
airline,en,PENDING
airport,en,PENDING
alarm,en,PENDING
album,en,PENDING
alcohol,en,PENDING
alive,en,PENDING
all,en,PENDING
"all determiner,",en,PENDING
"all right adj, adv,",en,PENDING
allow,en,PENDING
allowance,en,PENDING
almost,en,PENDING
alone,en,PENDING
along,en,PENDING
alongside,en,PENDING
already,en,PENDING
also,en,PENDING
also indicates that a synonym for book is reserve,en,PENDING
also sometimes difficult and frustrating,en,PENDING
alter,en,PENDING
alternative,en,PENDING
although,en,PENDING
altogether,en,PENDING
always,en,PENDING
amazing,en,PENDING
ambitio,en,PENDING
ambulance,en,PENDING
among,en,PENDING
amount,en,PENDING
"an indefinite article,",en,PENDING
analyse,en,PENDING
analysis,en,PENDING
analysis of the 390 million words contained,en,PENDING
analysis of the longman corpus network,en,PENDING
analyst,en,PENDING
ancient,en,PENDING
and,en,PENDING
and immediate form which words are really,en,PENDING
and it is difficult to know what to focus o,en,PENDING
and linguistics – university of lancaster,en,PENDING
"and meanings given descriptive labels, for",en,PENDING
"and s3 for the top 1000, 2000 and 3000 most",en,PENDING
"and spoken english, and enable them to focus",en,PENDING
"and written english, based on statistical",en,PENDING
and written language.,en,PENDING
anger,en,PENDING
angle,en,PENDING
angry,en,PENDING
animal,en,PENDING
announce,en,PENDING
announcement,en,PENDING
annoy,en,PENDING
annual,en,PENDING
another,en,PENDING
answer,en,PENDING
anticipate,en,PENDING
anxiety,en,PENDING
anxious,en,PENDING
any,en,PENDING
"any determiner, pron s1,",en,PENDING
anybody,en,PENDING
anyhow,en,PENDING
anyone,en,PENDING
anything,en,PENDING
anyway,en,PENDING
anywhere,en,PENDING
apart,en,PENDING
apartment,en,PENDING
apologize,en,PENDING
apology,en,PENDING
apparent,en,PENDING
apparently,en,PENDING
appeal,en,PENDING
appear,en,PENDING
appearance,en,PENDING
apple,en,PENDING
applicatio,en,PENDING
apply,en,PENDING
appoint,en,PENDING
appointment,en,PENDING
appreciate,en,PENDING
approach,en,PENDING
appropriate,en,PENDING
"appropriate information, the longma",en,PENDING
appropriate verb to use when asking for a room,en,PENDING
approval,en,PENDING
approve,en,PENDING
approximate,en,PENDING
architect,en,PENDING
architecture,en,PENDING
"are in the top 1000, 2000 and 3000 most",en,PENDING
area,en,PENDING
argue,en,PENDING
argument,en,PENDING
arise,en,PENDING
arm,en,PENDING
armed,en,PENDING
army,en,PENDING
around,en,PENDING
arrange,en,PENDING
arrangement,en,PENDING
arrest,en,PENDING
arrival,en,PENDING
arrive,en,PENDING
art,en,PENDING
article,en,PENDING
artificial,en,PENDING
artist,en,PENDING
as,en,PENDING
ashamed,en,PENDING
aside,en,PENDING
ask,en,PENDING
asleep,en,PENDING
aspect,en,PENDING
assess,en,PENDING
assessment,en,PENDING
assignment,en,PENDING
assist,en,PENDING
assistance,en,PENDING
assistant,en,PENDING
associate,en,PENDING
associatio,en,PENDING
assume,en,PENDING
assumptio,en,PENDING
assure,en,PENDING
at,en,PENDING
atmosphere,en,PENDING
attach,en,PENDING
attack,en,PENDING
attempt,en,PENDING
attend,en,PENDING
attentio,en,PENDING
attitude,en,PENDING
attorney,en,PENDING
attract,en,PENDING
attractio,en,PENDING
attractive,en,PENDING
audience,en,PENDING
aunt,en,PENDING
author,en,PENDING
authority,en,PENDING
automatic,en,PENDING
automatically,en,PENDING
autum,en,PENDING
available,en,PENDING
average,en,PENDING
avoid,en,PENDING
awake,en,PENDING
award,en,PENDING
aware,en,PENDING
awareness,en,PENDING
away,en,PENDING
awful,en,PENDING
awkward,en,PENDING
ba,en,PENDING
baby,en,PENDING
back,en,PENDING
background,en,PENDING
backwards,en,PENDING
baco,en,PENDING
bad,en,PENDING
badly,en,PENDING
bag,en,PENDING
bake,en,PENDING
balance,en,PENDING
ball,en,PENDING
band,en,PENDING
bang,en,PENDING
bank,en,PENDING
bar,en,PENDING
barrier,en,PENDING
base,en,PENDING
baseball,en,PENDING
basic,en,PENDING
basically,en,PENDING
basis,en,PENDING
basket,en,PENDING
bat,en,PENDING
bath,en,PENDING
bathroom,en,PENDING
battery,en,PENDING
battle,en,PENDING
be,en,PENDING
bea,en,PENDING
beach,en,PENDING
bear,en,PENDING
beard,en,PENDING
beat,en,PENDING
beautiful,en,PENDING
beauty,en,PENDING
because,en,PENDING
because there are so many things to lear,en,PENDING
become,en,PENDING
bed,en,PENDING
bedroom,en,PENDING
beef,en,PENDING
beer,en,PENDING
before,en,PENDING
beforehand,en,PENDING
begi,en,PENDING
beginning,en,PENDING
behalf,en,PENDING
behave,en,PENDING
behaviour,en,PENDING
behind,en,PENDING
being,en,PENDING
belief,en,PENDING
believe,en,PENDING
bell,en,PENDING
belong,en,PENDING
below,en,PENDING
belt,en,PENDING
bench,en,PENDING
bend,en,PENDING
beneath,en,PENDING
benefit,en,PENDING
beside,en,PENDING
best,en,PENDING
bet,en,PENDING
better,en,PENDING
betwee,en,PENDING
beyond,en,PENDING
bi,en,PENDING
bicycle,en,PENDING
bid,en,PENDING
big,en,PENDING
bike,en,PENDING
bill,en,PENDING
bird,en,PENDING
birth,en,PENDING
birthday,en,PENDING
biscuit,en,PENDING
bit,en,PENDING
bite,en,PENDING
bitter,en,PENDING
black,en,PENDING
blade,en,PENDING
blame,en,PENDING
blank,en,PENDING
bless,en,PENDING
blind,en,PENDING
block,en,PENDING
bloke,en,PENDING
blonde,en,PENDING
blood,en,PENDING
blow,en,PENDING
blue,en,PENDING
board,en,PENDING
boat,en,PENDING
body,en,PENDING
boil,en,PENDING
boiler,en,PENDING
boiling,en,PENDING
bomb,en,PENDING
bone,en,PENDING
bonus,en,PENDING
book,en,PENDING
boom,en,PENDING
boot,en,PENDING
bor,en,PENDING
border,en,PENDING
bored,en,PENDING
boring,en,PENDING
borrow,en,PENDING
boss,en,PENDING
"both determiner,",en,PENDING
bother,en,PENDING
bottle,en,PENDING
bottom,en,PENDING
bounce,en,PENDING
bound,en,PENDING
bowl,en,PENDING
box,en,PENDING
boy,en,PENDING
boyfriend,en,PENDING
brai,en,PENDING
branch,en,PENDING
brave,en,PENDING
bread,en,PENDING
break,en,PENDING
breakfast,en,PENDING
breast,en,PENDING
breath,en,PENDING
breathe,en,PENDING
brick,en,PENDING
bridge,en,PENDING
brief,en,PENDING
briefly,en,PENDING
bright,en,PENDING
brilliant,en,PENDING
bring,en,PENDING
broad,en,PENDING
brother,en,PENDING
brow,en,PENDING
brush,en,PENDING
buck,en,PENDING
bucket,en,PENDING
buddy,en,PENDING
budget,en,PENDING
bug,en,PENDING
build,en,PENDING
builder,en,PENDING
building,en,PENDING
bump,en,PENDING
bunch,en,PENDING
bur,en,PENDING
burst,en,PENDING
bury,en,PENDING
bus,en,PENDING
business,en,PENDING
busy,en,PENDING
but,en,PENDING
butcher,en,PENDING
butter,en,PENDING
butto,en,PENDING
buy,en,PENDING
buyer,en,PENDING
by,en,PENDING
bye,en,PENDING
ca,en,PENDING
cabinet,en,PENDING
cable,en,PENDING
cake,en,PENDING
calculate,en,PENDING
calculatio,en,PENDING
calculator,en,PENDING
calendar,en,PENDING
call,en,PENDING
calm,en,PENDING
camera,en,PENDING
camp,en,PENDING
campaig,en,PENDING
can modal,en,PENDING
cancel,en,PENDING
cancer,en,PENDING
candidate,en,PENDING
candle,en,PENDING
candy,en,PENDING
cap,en,PENDING
capable,en,PENDING
capacity,en,PENDING
capital,en,PENDING
captai,en,PENDING
capture,en,PENDING
car,en,PENDING
card,en,PENDING
care,en,PENDING
career,en,PENDING
careful,en,PENDING
carefully,en,PENDING
carpet,en,PENDING
carrot,en,PENDING
carry,en,PENDING
cartoo,en,PENDING
case,en,PENDING
cash,en,PENDING
cast,en,PENDING
castle,en,PENDING
cat,en,PENDING
catalogue,en,PENDING
catch,en,PENDING
category,en,PENDING
cause,en,PENDING
cd,en,PENDING
cease,en,PENDING
ceiling,en,PENDING
celebrate,en,PENDING
celebratio,en,PENDING
cell,en,PENDING
cellphone,en,PENDING
cent,en,PENDING
centimetre,en,PENDING
central,en,PENDING
centre,en,PENDING
century,en,PENDING
cereal,en,PENDING
certai,en,PENDING
certainly,en,PENDING
certificate,en,PENDING
chai,en,PENDING
chair,en,PENDING
chairma,en,PENDING
challenge,en,PENDING
champio,en,PENDING
championship,en,PENDING
chance,en,PENDING
change,en,PENDING
channel,en,PENDING
chap,en,PENDING
chapter,en,PENDING
character,en,PENDING
characteristic,en,PENDING
characterize,en,PENDING
charge,en,PENDING
charity,en,PENDING
chart,en,PENDING
chase,en,PENDING
chat,en,PENDING
cheap,en,PENDING
cheat,en,PENDING
check,en,PENDING
cheek,en,PENDING
cheese,en,PENDING
chemical,en,PENDING
chemist,en,PENDING
chemistry,en,PENDING
cheque,en,PENDING
cherry,en,PENDING
chest,en,PENDING
chicke,en,PENDING
chief,en,PENDING
child,en,PENDING
childhood,en,PENDING
chip,en,PENDING
chocolate,en,PENDING
choice,en,PENDING
choose,en,PENDING
chop,en,PENDING
chuck,en,PENDING
church,en,PENDING
cigarette,en,PENDING
cinema,en,PENDING
circle,en,PENDING
circuit,en,PENDING
circumstance,en,PENDING
citize,en,PENDING
