lemma,language_code,status
1 1. expressing the existence of something,en,PENDING
1 1. expressing the non-existence of something,en,PENDING
1 2. referring to the text and to other texts,en,PENDING
7 . making contrasts,en,PENDING
a better understanding of,en,PENDING
a change i,en,PENDING
a combination of,en,PENDING
a consequence of,en,PENDING
a form of,en,PENDING
a function of,en,PENDING
a high degree of,en,PENDING
a high level of,en,PENDING
a kind of,en,PENDING
a lack of,en,PENDING
a large number of,en,PENDING
a means of,en,PENDING
a measure of,en,PENDING
a number of different,en,PENDING
a number of,en,PENDING
a period of time,en,PENDING
a proportion of,en,PENDING
a range of,en,PENDING
a reduction i,en,PENDING
a series of,en,PENDING
a small number of,en,PENDING
a source of,en,PENDING
a type of,en,PENDING
a variety of,en,PENDING
a way of,en,PENDING
a wide range of,en,PENDING
a wide variety of,en,PENDING
according to,en,PENDING
an effect o,en,PENDING
an effects o,en,PENDING
an example of,en,PENDING
an impact o,en,PENDING
an important role i,en,PENDING
an important role to play i,en,PENDING
an increase i,en,PENDING
an integral part of,en,PENDING
an understanding of,en,PENDING
and a subset of the british academic spoken english base corpus developed within the university of warwick,en,PENDING
and a subset of the british academic spoken english corpus developed within the university of warwick,en,PENDING
and for which relevant permissions have been obtained. base was developed at the universities of warwick and,en,PENDING
and so o,en,PENDING
appears to be,en,PENDING
are associated with,en,PENDING
are based o,en,PENDING
are less likely to,en,PENDING
are likely to be,en,PENDING
are likely to,en,PENDING
are more likely to be,en,PENDING
are more likely to,en,PENDING
are shown i,en,PENDING
argue that,en,PENDING
argues that,en,PENDING
article,en,PENDING
as a consequence of,en,PENDING
as a form of,en,PENDING
as a function of,en,PENDING
as a means of,en,PENDING
as a result of,en,PENDING
as a result,en,PENDING
as a source of,en,PENDING
as a way of,en,PENDING
as a whole,en,PENDING
as follows,en,PENDING
as i,en,PENDING
as in the case of,en,PENDING
as opposed to,en,PENDING
as part of,en,PENDING
as shown i,en,PENDING
as to,en,PENDING
as we have see,en,PENDING
as we shall see,en,PENDING
as well as,en,PENDING
as well,en,PENDING
aspect of,en,PENDING
aspects of,en,PENDING
associated with,en,PENDING
association betwee,en,PENDING
assume that,en,PENDING
at the beginning of,en,PENDING
at the expense of,en,PENDING
at the heart of,en,PENDING
at the same time,en,PENDING
based on the assumption that,en,PENDING
basis for,en,PENDING
be associated with,en,PENDING
be due to the fact that,en,PENDING
be due to,en,PENDING
be expected to,en,PENDING
be regarded as,en,PENDING
be taken into account,en,PENDING
be thought of as,en,PENDING
bear in mind,en,PENDING
because of,en,PENDING
beyond the scope of this book,en,PENDING
but also,en,PENDING
by a factor of,en,PENDING
by means of,en,PENDING
by the fact that,en,PENDING
by the use of,en,PENDING
can be applied to,en,PENDING
can be described explained in terms of,en,PENDING
can be found i,en,PENDING
can be seen as,en,PENDING
can be seen in,en,PENDING
can be seen,en,PENDING
can be thought of as,en,PENDING
can be used to,en,PENDING
can lead to,en,PENDING
caused by,en,PENDING
chapter,en,PENDING
characteristics of,en,PENDING
characterized by,en,PENDING
claim that,en,PENDING
compared to,en,PENDING
compared with,en,PENDING
concerned with,en,PENDING
considered to be,en,PENDING
consistent with,en,PENDING
corresponding to,en,PENDING
data o,en,PENDING
depend o,en,PENDING
dependent o,en,PENDING
depends o,en,PENDING
derived from,en,PENDING
determined by,en,PENDING
difference i,en,PENDING
differences i,en,PENDING
different from,en,PENDING
different types of,en,PENDING
does not appear to be,en,PENDING
due to the fact that,en,PENDING
due to,en,PENDING
elements of,en,PENDING
et al,en,PENDING
even in the absence of any,en,PENDING
even in the absence of,en,PENDING
evidence for,en,PENDING
evidence of,en,PENDING
evidence that,en,PENDING
feature of,en,PENDING
features of,en,PENDING
focus o,en,PENDING
for a number of reasons,en,PENDING
for example,en,PENDING
for instance,en,PENDING
for the purpose of,en,PENDING
for the purposes of,en,PENDING
found that,en,PENDING
found to be,en,PENDING
from the fact that,en,PENDING
from the perspective of,en,PENDING
from the point of view of,en,PENDING
funding from baleap euralex the british academy and the arts and humanities research council,en,PENDING
give rise to,en,PENDING
greater,en,PENDING
guide to the most important words and phrases to know in the field of english for academic purposes eap,en,PENDING
guide to the most important words and phrases to know in the field of english for academic purposes,en,PENDING
has been shown to be,en,PENDING
has been shown to,en,PENDING
has the potential to,en,PENDING
have a significant impact o,en,PENDING
have been found to be,en,PENDING
have been shown to be,en,PENDING
have been shown to,en,PENDING
have shown that,en,PENDING
have the potential to,en,PENDING
held that,en,PENDING
high levels of,en,PENDING
higher,en,PENDING
his or her he or she men and wome,en,PENDING
if and only if,en,PENDING
in a number of ways,en,PENDING
in a range of,en,PENDING
in a variety of ways,en,PENDING
in a variety of,en,PENDING
in a way that,en,PENDING
in a wide range of,en,PENDING
in a wide variety of,en,PENDING
in accordance with,en,PENDING
in additio,en,PENDING
in contrast to,en,PENDING
in contrast,en,PENDING
in fact,en,PENDING
in general,en,PENDING
in much the same way as,en,PENDING
in much the same way,en,PENDING
in order to,en,PENDING
in other words,en,PENDING
in part,en,PENDING
in particular,en,PENDING
in questio,en,PENDING
in recent years,en,PENDING
in relation to,en,PENDING
in respect of,en,PENDING
in response to,en,PENDING
in so far as,en,PENDING
in some cases,en,PENDING
in spite of the fact that,en,PENDING
in such a way that,en,PENDING
in such a way,en,PENDING
in terms of,en,PENDING
in the absence of any,en,PENDING
in the absence of,en,PENDING
in the area of,en,PENDING
in the case of,en,PENDING
in the context of,en,PENDING
in the course of,en,PENDING
in the development of,en,PENDING
in the event of,en,PENDING
in the field of,en,PENDING
in the form of,en,PENDING
in the future,en,PENDING
in the light of,en,PENDING
in the literature,en,PENDING
in the next sectio,en,PENDING
in the past,en,PENDING
in the presence of,en,PENDING
in the previous sectio,en,PENDING
in the process of,en,PENDING
in the range of,en,PENDING
in the same way as,en,PENDING
in the same way that,en,PENDING
in the same way,en,PENDING
in the sense of,en,PENDING
in the sense that,en,PENDING
in the study of,en,PENDING
in the study,en,PENDING
in the wide range of,en,PENDING
in this case,en,PENDING
in this chapter,en,PENDING
in this study,en,PENDING
in this way,en,PENDING
