lemma,language_code,status
ability,en,PENDING
abnormal,en,PENDING
abnormality,en,PENDING
above,en,PENDING
absence,en,PENDING
absent,en,PENDING
absolute,en,PENDING
academic,en,PENDING
"academic purposes . this list gives the 1 200 most important words in academic writing,",en,PENDING
"academic purposes eap. this list gives the 1 200 most important words in academic writing,",en,PENDING
accept,en,PENDING
acceptable,en,PENDING
acceptance,en,PENDING
access,en,PENDING
accessible,en,PENDING
according to,en,PENDING
accordingly,en,PENDING
account,en,PENDING
accountability,en,PENDING
accumulate,en,PENDING
accumulatio,en,PENDING
accuracy,en,PENDING
accurate,en,PENDING
accurately,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
acquisitio,en,PENDING
act,en,PENDING
actio,en,PENDING
active,en,PENDING
actively,en,PENDING
activity,en,PENDING
actual,en,PENDING
adapt,en,PENDING
adaptatio,en,PENDING
adaptive,en,PENDING
additio,en,PENDING
additional,en,PENDING
additionally,en,PENDING
address,en,PENDING
adequate,en,PENDING
adequately,en,PENDING
adjust,en,PENDING
adjustment,en,PENDING
administer,en,PENDING
administratio,en,PENDING
administrative,en,PENDING
adopt,en,PENDING
advantage,en,PENDING
affect,en,PENDING
age,en,PENDING
agenda,en,PENDING
agent,en,PENDING
agreement,en,PENDING
agricultural,en,PENDING
aim,en,PENDING
allow,en,PENDING
alter,en,PENDING
alteratio,en,PENDING
alternative,en,PENDING
alternatively,en,PENDING
although,en,PENDING
among,en,PENDING
amount,en,PENDING
an essential guide to the most important words and phrases to know in the field of english for,en,PENDING
analyse,en,PENDING
analysis,en,PENDING
analyst,en,PENDING
analytical,en,PENDING
"and a subset of the british academic spoken english base corpus, developed within the university of warwick",en,PENDING
"and a subset of the british academic spoken english corpus, developed within the university of warwick",en,PENDING
and for which relevant permissions have been obtained. base was developed at the universities of warwick and,en,PENDING
animal,en,PENDING
annual,en,PENDING
anxiety,en,PENDING
apparent,en,PENDING
appear,en,PENDING
applicable,en,PENDING
applicatio,en,PENDING
apply,en,PENDING
approach,en,PENDING
appropriate,en,PENDING
appropriately,en,PENDING
approximately,en,PENDING
approximatio,en,PENDING
area,en,PENDING
arguably,en,PENDING
argue,en,PENDING
argument,en,PENDING
arise,en,PENDING
arrangement,en,PENDING
article,en,PENDING
aspect,en,PENDING
assert,en,PENDING
assertio,en,PENDING
assess,en,PENDING
assessment,en,PENDING
assig,en,PENDING
associate,en,PENDING
associatio,en,PENDING
assume,en,PENDING
assumptio,en,PENDING
attitude,en,PENDING
attribute,en,PENDING
author,en,PENDING
authority,en,PENDING
availability,en,PENDING
available,en,PENDING
average,en,PENDING
avoid,en,PENDING
aware,en,PENDING
awareness,en,PENDING
background,en,PENDING
balance,en,PENDING
barrier,en,PENDING
base,en,PENDING
based,en,PENDING
basic,en,PENDING
basis,en,PENDING
behave,en,PENDING
behaviour,en,PENDING
belief,en,PENDING
below,en,PENDING
beneficial,en,PENDING
beneficiary,en,PENDING
benefit,en,PENDING
betwee,en,PENDING
beyond,en,PENDING
bias,en,PENDING
broad,en,PENDING
broadly,en,PENDING
burde,en,PENDING
can modal,en,PENDING
capability,en,PENDING
capable,en,PENDING
capacity,en,PENDING
care,en,PENDING
case,en,PENDING
categorize,en,PENDING
category,en,PENDING
causal,en,PENDING
causatio,en,PENDING
cause,en,PENDING
central,en,PENDING
centralize,en,PENDING
centre,en,PENDING
century,en,PENDING
certai,en,PENDING
certainty,en,PENDING
chai,en,PENDING
challenge,en,PENDING
change,en,PENDING
channel,en,PENDING
character,en,PENDING
characteristic,en,PENDING
characterizatio,en,PENDING
characterize,en,PENDING
choice,en,PENDING
circumstance,en,PENDING
cite,en,PENDING
claim,en,PENDING
classic,en,PENDING
classical,en,PENDING
classificatio,en,PENDING
classify,en,PENDING
clear,en,PENDING
clearly,en,PENDING
climate,en,PENDING
code,en,PENDING
colum,en,PENDING
combinatio,en,PENDING
combine,en,PENDING
commercial,en,PENDING
commit,en,PENDING
commitment,en,PENDING
commo,en,PENDING
commonly,en,PENDING
communicate,en,PENDING
communicatio,en,PENDING
community,en,PENDING
comparable,en,PENDING
comparative,en,PENDING
compare,en,PENDING
compariso,en,PENDING
compete,en,PENDING
competitio,en,PENDING
complex,en,PENDING
complexity,en,PENDING
component,en,PENDING
compositio,en,PENDING
comprehensive,en,PENDING
comprise,en,PENDING
conceive,en,PENDING
concept,en,PENDING
conceptio,en,PENDING
conceptual,en,PENDING
conceptualize,en,PENDING
concer,en,PENDING
conclude,en,PENDING
conclusio,en,PENDING
conditio,en,PENDING
conditional,en,PENDING
conduct,en,PENDING
confirm,en,PENDING
conflict,en,PENDING
connect,en,PENDING
connectio,en,PENDING
consensus,en,PENDING
consent,en,PENDING
consequence,en,PENDING
consequently,en,PENDING
conservatio,en,PENDING
conservative,en,PENDING
conserve,en,PENDING
consider,en,PENDING
considerable,en,PENDING
considerably,en,PENDING
consideratio,en,PENDING
consist,en,PENDING
consistency,en,PENDING
consistent,en,PENDING
consistently,en,PENDING
constant,en,PENDING
constitute,en,PENDING
constrai,en,PENDING
constraint,en,PENDING
construct,en,PENDING
constructio,en,PENDING
constructive,en,PENDING
consume,en,PENDING
consumptio,en,PENDING
contact,en,PENDING
contai,en,PENDING
contemporary,en,PENDING
content,en,PENDING
context,en,PENDING
continuity,en,PENDING
continuous,en,PENDING
contrast,en,PENDING
contribute,en,PENDING
contributio,en,PENDING
control,en,PENDING
conventio,en,PENDING
conventional,en,PENDING
conversio,en,PENDING
convert,en,PENDING
cooperatio,en,PENDING
cooperative,en,PENDING
coordinate,en,PENDING
coordinatio,en,PENDING
core,en,PENDING
correct,en,PENDING
correctio,en,PENDING
correctly,en,PENDING
correlate,en,PENDING
correlatio,en,PENDING
correspond,en,PENDING
corresponding,en,PENDING
country,en,PENDING
coverage,en,PENDING
create,en,PENDING
creatio,en,PENDING
creative,en,PENDING
criterio,en,PENDING
critical,en,PENDING
critically,en,PENDING
criticize,en,PENDING
crucial,en,PENDING
cultural,en,PENDING
culturally,en,PENDING
culture,en,PENDING
cumulative,en,PENDING
current,en,PENDING
currently,en,PENDING
cycle,en,PENDING
data,en,PENDING
deal,en,PENDING
debate,en,PENDING
decade,en,PENDING
decisio,en,PENDING
decline,en,PENDING
decrease,en,PENDING
define,en,PENDING
definitio,en,PENDING
degree,en,PENDING
demand,en,PENDING
demonstrate,en,PENDING
denote,en,PENDING
depend,en,PENDING
dependence,en,PENDING
dependent,en,PENDING
derive,en,PENDING
describe,en,PENDING
descriptio,en,PENDING
descriptive,en,PENDING
desig,en,PENDING
desirable,en,PENDING
desire,en,PENDING
detail,en,PENDING
detailed,en,PENDING
determinant,en,PENDING
determinatio,en,PENDING
determine,en,PENDING
develop,en,PENDING
development,en,PENDING
deviatio,en,PENDING
device,en,PENDING
differ,en,PENDING
difference,en,PENDING
different,en,PENDING
differentiate,en,PENDING
differentiatio,en,PENDING
differently,en,PENDING
difficult,en,PENDING
difficulty,en,PENDING
digital,en,PENDING
dimensio,en,PENDING
direct,en,PENDING
directio,en,PENDING
directly,en,PENDING
disadvantage,en,PENDING
discipline,en,PENDING
discriminatio,en,PENDING
discuss,en,PENDING
discussio,en,PENDING
distance,en,PENDING
distinct,en,PENDING
distinctio,en,PENDING
distinctive,en,PENDING
distinguish,en,PENDING
distribute,en,PENDING
distributio,en,PENDING
diverse,en,PENDING
diversity,en,PENDING
divide,en,PENDING
"divided into twelve sublists of 100 words each, with the most important words in sublist 1.",en,PENDING
divisio,en,PENDING
document,en,PENDING
domai,en,PENDING
dominance,en,PENDING
dominant,en,PENDING
dominate,en,PENDING
donor,en,PENDING
due,en,PENDING
duratio,en,PENDING
during,en,PENDING
dynamic,en,PENDING
early,en,PENDING
ecological,en,PENDING
economic,en,PENDING
economically,en,PENDING
educatio,en,PENDING
educational,en,PENDING
effect,en,PENDING
effective,en,PENDING
effectively,en,PENDING
effectiveness,en,PENDING
efficacy,en,PENDING
efficiency,en,PENDING
efficient,en,PENDING
efficiently,en,PENDING
effort,en,PENDING
element,en,PENDING
elevate,en,PENDING
eliminate,en,PENDING
elsewhere,en,PENDING
emerge,en,PENDING
emergence,en,PENDING
emotional,en,PENDING
emphasis,en,PENDING
emphasize,en,PENDING
empirical,en,PENDING
empirically,en,PENDING
employ,en,PENDING
empower,en,PENDING
enable,en,PENDING
encode,en,PENDING
encounter,en,PENDING
encourage,en,PENDING
energy,en,PENDING
engage,en,PENDING
enhance,en,PENDING
ensure,en,PENDING
entity,en,PENDING
entry,en,PENDING
environment,en,PENDING
environmental,en,PENDING
equal,en,PENDING
equally,en,PENDING
equivalence,en,PENDING
equivalent,en,PENDING
error,en,PENDING
especially,en,PENDING
essence,en,PENDING
essential,en,PENDING
essentially,en,PENDING
establish,en,PENDING
establishment,en,PENDING
estimate,en,PENDING
estimatio,en,PENDING
ethic,en,PENDING
ethical,en,PENDING
ethnic,en,PENDING
ethnicity,en,PENDING
evaluate,en,PENDING
evaluatio,en,PENDING
event,en,PENDING
evidence,en,PENDING
evident,en,PENDING
evolutio,en,PENDING
evolutionary,en,PENDING
evolve,en,PENDING
examinatio,en,PENDING
examine,en,PENDING
example,en,PENDING
exceed,en,PENDING
exceptio,en,PENDING
excess,en,PENDING
excessive,en,PENDING
exchange,en,PENDING
exclude,en,PENDING
exclusio,en,PENDING
exclusive,en,PENDING
exclusively,en,PENDING
exemplify,en,PENDING
exercise,en,PENDING
exist,en,PENDING
existence,en,PENDING
expand,en,PENDING
expansio,en,PENDING
expect,en,PENDING
expectatio,en,PENDING
experience,en,PENDING
experiment,en,PENDING
experimental,en,PENDING
expert,en,PENDING
expertise,en,PENDING
explai,en,PENDING
explanatio,en,PENDING
explanatory,en,PENDING
explicit,en,PENDING
explicitly,en,PENDING
exploit,en,PENDING
exploitatio,en,PENDING
exploratio,en,PENDING
explore,en,PENDING
expose,en,PENDING
express,en,PENDING
expressio,en,PENDING
extend,en,PENDING
extensio,en,PENDING
extensive,en,PENDING
extent,en,PENDING
external,en,PENDING
extreme,en,PENDING
facilitate,en,PENDING
facility,en,PENDING
fact,en,PENDING
factor,en,PENDING
fail,en,PENDING
failure,en,PENDING
favour,en,PENDING
favourable,en,PENDING
feature,en,PENDING
federal,en,PENDING
female,en,PENDING
field,en,PENDING
financial,en,PENDING
finding,en,PENDING
flexibility,en,PENDING
flexible,en,PENDING
flow,en,PENDING
focus,en,PENDING
force,en,PENDING
form,en,PENDING
formal,en,PENDING
formatio,en,PENDING
formula,en,PENDING
formulate,en,PENDING
formulatio,en,PENDING
framework,en,PENDING
frequent,en,PENDING
frequently,en,PENDING
fully,en,PENDING
