lemma,language_code,status
"a, an indefinite article a1",en,PENDING
a2,en,PENDING
abandon v. b2,en,PENDING
ability n. a2,en,PENDING
able adj. a2,en,PENDING
"about prep., adv. a1",en,PENDING
"above prep., adv. a1",en,PENDING
abroad adv. a2,en,PENDING
absolute adj. b2,en,PENDING
absolutely adv. b1,en,PENDING
"academic adj.b1, n. b2",en,PENDING
accept v. a2,en,PENDING
acceptable adj. b2,en,PENDING
"access n., v. b1",en,PENDING
accident n. a2,en,PENDING
accommodation n. b1,en,PENDING
accompany v. b2,en,PENDING
according to prep. a2,en,PENDING
"account n. b1, v. b2",en,PENDING
accurate adj. b2,en,PENDING
accuse v. b2,en,PENDING
achieve v. a2,en,PENDING
achievement n. b1,en,PENDING
acknowledge v. b2,en,PENDING
acquire v. b2,en,PENDING
"across prep., adv. a1",en,PENDING
"act v. a2, n. b1",en,PENDING
action n. a1,en,PENDING
active adj. a2,en,PENDING
activity n. a1,en,PENDING
actor n. a1,en,PENDING
actress n. a1,en,PENDING
actual adj. b2,en,PENDING
actually adv. a2,en,PENDING
ad n. b1,en,PENDING
adapt v. b2,en,PENDING
add v. a1,en,PENDING
addition n. b1,en,PENDING
additional adj. b2,en,PENDING
"address n. a1, v. b2",en,PENDING
"adj. a1, v. a2",en,PENDING
administration n. b2,en,PENDING
admire v. b1,en,PENDING
admit v. b1,en,PENDING
adopt v. b2,en,PENDING
"adult n. a1, adj. a2",en,PENDING
adv. b1,en,PENDING
"advance n., v., adj. b2",en,PENDING
advanced adj. b1,en,PENDING
advantage n. a2,en,PENDING
adventure n. a2,en,PENDING
advertise v. a2,en,PENDING
advertisement n. a2,en,PENDING
advertising n. a2,en,PENDING
advice n. a1,en,PENDING
advise v. b1,en,PENDING
affair n. b2,en,PENDING
affect v. a2,en,PENDING
afford v. b1,en,PENDING
afraid adj. a1,en,PENDING
"after prep. a1, conj., adv. a2",en,PENDING
afternoon n. a1,en,PENDING
afterwards adv. b2,en,PENDING
again adv. a1,en,PENDING
against prep. a2,en,PENDING
"age n. a1, v. b1",en,PENDING
aged adj. b1,en,PENDING
agency n. b2,en,PENDING
agenda n. b2,en,PENDING
agent n. b1,en,PENDING
aggressive adj. b2,en,PENDING
ago adv. a1,en,PENDING
agree v. a1,en,PENDING
agreement n. b1,en,PENDING
ah exclam. a2,en,PENDING
ahead adv. b1,en,PENDING
"aid n., v. b2",en,PENDING
"aim v., n. b1",en,PENDING
air n. a1,en,PENDING
aircraft n. b2,en,PENDING
airline n. a2,en,PENDING
airport n. a1,en,PENDING
"alarm n. b1, v. b2",en,PENDING
album n. b1,en,PENDING
alcohol n. b1,en,PENDING
alcoholic adj. b1,en,PENDING
alive adj. a2,en,PENDING
"all det., pron. a1, adv. a2",en,PENDING
all right adj. exclam. a2,en,PENDING
"all right adv., exclam. a2",en,PENDING
allow v. a2,en,PENDING
almost adv. a2,en,PENDING
alone adj. a2,en,PENDING
alone adv. a2,en,PENDING
"along prep., adv. a2",en,PENDING
already adv. a2,en,PENDING
also adv. a1,en,PENDING
alter v. b2,en,PENDING
"alternative n. a2, adj. b1",en,PENDING
although conj. a2,en,PENDING
always adv. a1,en,PENDING
amazed adj. b1,en,PENDING
amazing adj. a1,en,PENDING
ambition n. b1,en,PENDING
ambitious adj. b1,en,PENDING
among prep. a2,en,PENDING
"amount n. a2, v. b2",en,PENDING
analyse v. b1,en,PENDING
analysis n. b1,en,PENDING
ancient adj. a2,en,PENDING
and conj. a1,en,PENDING
anger n. b2,en,PENDING
angle n. b2,en,PENDING
angrily adv. a2,en,PENDING
angry adj. a1,en,PENDING
animal n. a1,en,PENDING
ankle n. a2,en,PENDING
anniversary n. b2,en,PENDING
announce v. b1,en,PENDING
announcement n. b1,en,PENDING
annoy v. b1,en,PENDING
