lemma,language_code,status
"a, an indefinite article",en,PENDING
a1,en,PENDING
a2,en,PENDING
abando,en,PENDING
ability,en,PENDING
able,en,PENDING
about,en,PENDING
above,en,PENDING
abroad,en,PENDING
absolute,en,PENDING
absolutely,en,PENDING
academic,en,PENDING
accept,en,PENDING
acceptable,en,PENDING
access,en,PENDING
accident,en,PENDING
accommodatio,en,PENDING
accompany,en,PENDING
according to,en,PENDING
account,en,PENDING
accurate,en,PENDING
accuse,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
across,en,PENDING
act,en,PENDING
actio,en,PENDING
active,en,PENDING
activity,en,PENDING
actor,en,PENDING
actress,en,PENDING
actual,en,PENDING
actually,en,PENDING
ad,en,PENDING
adapt,en,PENDING
add,en,PENDING
additio,en,PENDING
additional,en,PENDING
address,en,PENDING
administratio,en,PENDING
admire,en,PENDING
admit,en,PENDING
adopt,en,PENDING
adult,en,PENDING
advance,en,PENDING
advanced,en,PENDING
advantage,en,PENDING
adventure,en,PENDING
advertise,en,PENDING
advertisement,en,PENDING
advertising,en,PENDING
advice,en,PENDING
advise,en,PENDING
affair,en,PENDING
affect,en,PENDING
afford,en,PENDING
afraid,en,PENDING
after,en,PENDING
afternoo,en,PENDING
afterwards,en,PENDING
agai,en,PENDING
against,en,PENDING
age,en,PENDING
aged,en,PENDING
agency,en,PENDING
agenda,en,PENDING
agent,en,PENDING
aggressive,en,PENDING
ago,en,PENDING
agree,en,PENDING
agreement,en,PENDING
ah exclam.,en,PENDING
ahead,en,PENDING
aid,en,PENDING
aim,en,PENDING
air,en,PENDING
aircraft,en,PENDING
airline,en,PENDING
airport,en,PENDING
alarm,en,PENDING
album,en,PENDING
alcohol,en,PENDING
alcoholic,en,PENDING
alive,en,PENDING
all,en,PENDING
"all det., pro",en,PENDING
all right adj. exclam.,en,PENDING
"all right adv., exclam.",en,PENDING
allow,en,PENDING
almost,en,PENDING
alone,en,PENDING
along,en,PENDING
already,en,PENDING
also,en,PENDING
alter,en,PENDING
alternative,en,PENDING
although,en,PENDING
always,en,PENDING
amazed,en,PENDING
amazing,en,PENDING
ambitio,en,PENDING
ambitious,en,PENDING
among,en,PENDING
amount,en,PENDING
analyse,en,PENDING
analysis,en,PENDING
ancient,en,PENDING
and,en,PENDING
anger,en,PENDING
angle,en,PENDING
angrily,en,PENDING
angry,en,PENDING
animal,en,PENDING
ankle,en,PENDING
anniversary,en,PENDING
announce,en,PENDING
announcement,en,PENDING
annoy,en,PENDING
annoyed,en,PENDING
annoying,en,PENDING
annual,en,PENDING
another det.,en,PENDING
another pro,en,PENDING
answer,en,PENDING
anxious,en,PENDING
any,en,PENDING
"any det., pro",en,PENDING
any more,en,PENDING
anybody pro,en,PENDING
anyone pro,en,PENDING
anything pro,en,PENDING
anyway,en,PENDING
"anywhere adv., pro",en,PENDING
apart,en,PENDING
apartment,en,PENDING
apologize,en,PENDING
app,en,PENDING
apparent,en,PENDING
apparently,en,PENDING
appeal,en,PENDING
appear,en,PENDING
appearance,en,PENDING
apple,en,PENDING
applicatio,en,PENDING
apply,en,PENDING
appointment,en,PENDING
appreciate,en,PENDING
approach,en,PENDING
appropriate,en,PENDING
approval,en,PENDING
approve,en,PENDING
approximately,en,PENDING
april,en,PENDING
architect,en,PENDING
architecture,en,PENDING
area,en,PENDING
argue,en,PENDING
argument,en,PENDING
arise,en,PENDING
arm,en,PENDING
armed,en,PENDING
arms,en,PENDING
army,en,PENDING
around,en,PENDING
arrange,en,PENDING
arrangement,en,PENDING
arrest,en,PENDING
arrival,en,PENDING
arrive,en,PENDING
art,en,PENDING
article,en,PENDING
artificial,en,PENDING
artist,en,PENDING
artistic,en,PENDING
as,en,PENDING
ashamed,en,PENDING
ask,en,PENDING
asleep,en,PENDING
aspect,en,PENDING
assess,en,PENDING
assessment,en,PENDING
assignment,en,PENDING
assist,en,PENDING
assistant,en,PENDING
associate,en,PENDING
