lemma,language_code,status
a,en,PENDING
abandon,en,PENDING
ability,en,PENDING
able,en,PENDING
about,en,PENDING
above,en,PENDING
abroad,en,PENDING
absence,en,PENDING
absolute,en,PENDING
absolutely,en,PENDING
absorb,en,PENDING
abuse,en,PENDING
academic,en,PENDING
accept,en,PENDING
acceptable,en,PENDING
access,en,PENDING
accident,en,PENDING
accommodation,en,PENDING
accompany,en,PENDING
according to,en,PENDING
account,en,PENDING
accurate,en,PENDING
accuse,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
acid,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
across,en,PENDING
act,en,PENDING
action,en,PENDING
active,en,PENDING
activist,en,PENDING
activity,en,PENDING
actor,en,PENDING
actual,en,PENDING
actually,en,PENDING
ad,en,PENDING
adapt,en,PENDING
add,en,PENDING
addition,en,PENDING
additional,en,PENDING
address,en,PENDING
adequate,en,PENDING
adjust,en,PENDING
administration,en,PENDING
administrative,en,PENDING
admire,en,PENDING
admission,en,PENDING
admit,en,PENDING
adopt,en,PENDING
adult,en,PENDING
advance,en,PENDING
advanced,en,PENDING
advantage,en,PENDING
advert,en,PENDING
advertise,en,PENDING
advertisement,en,PENDING
advertising,en,PENDING
advice,en,PENDING
advise,en,PENDING
adviser,en,PENDING
affair,en,PENDING
affect,en,PENDING
afford,en,PENDING
afraid,en,PENDING
after,en,PENDING
afternoon,en,PENDING
afterwards,en,PENDING
again,en,PENDING
against,en,PENDING
age,en,PENDING
aged,en,PENDING
agency,en,PENDING
agent,en,PENDING
aggressive,en,PENDING
ago,en,PENDING
agree,en,PENDING
agreement,en,PENDING
agriculture,en,PENDING
ahead,en,PENDING
aid,en,PENDING
aim,en,PENDING
air,en,PENDING
aircraft,en,PENDING
airline,en,PENDING
airport,en,PENDING
alarm,en,PENDING
album,en,PENDING
alcohol,en,PENDING
alive,en,PENDING
all,en,PENDING
all right,en,PENDING
allow,en,PENDING
allowance,en,PENDING
almost,en,PENDING
alone,en,PENDING
along,en,PENDING
alongside,en,PENDING
already,en,PENDING
also,en,PENDING
alter,en,PENDING
alternative,en,PENDING
although,en,PENDING
altogether,en,PENDING
always,en,PENDING
amazing,en,PENDING
ambition,en,PENDING
ambulance,en,PENDING
among,en,PENDING
amount,en,PENDING
an,en,PENDING
analyse,en,PENDING
analysis,en,PENDING
analyst,en,PENDING
ancient,en,PENDING
and,en,PENDING
anger,en,PENDING
angle,en,PENDING
angry,en,PENDING
animal,en,PENDING
announce,en,PENDING
announcement,en,PENDING
annoy,en,PENDING
annual,en,PENDING
another,en,PENDING
answer,en,PENDING
anticipate,en,PENDING
anxiety,en,PENDING
anxious,en,PENDING
any,en,PENDING
anybody,en,PENDING
anyhow,en,PENDING
anyone,en,PENDING
anything,en,PENDING
anyway,en,PENDING
anywhere,en,PENDING
apart,en,PENDING
apartment,en,PENDING
apologize,en,PENDING
apology,en,PENDING
apparent,en,PENDING
apparently,en,PENDING
appeal,en,PENDING
appear,en,PENDING
appearance,en,PENDING
apple,en,PENDING
application,en,PENDING
apply,en,PENDING
appoint,en,PENDING
appointment,en,PENDING
appreciate,en,PENDING
approach,en,PENDING
appropriate,en,PENDING
approval,en,PENDING
approve,en,PENDING
approximate,en,PENDING
architect,en,PENDING
architecture,en,PENDING
area,en,PENDING
argue,en,PENDING
argument,en,PENDING
arise,en,PENDING
arm,en,PENDING
armed,en,PENDING
army,en,PENDING
around,en,PENDING
arrange,en,PENDING
arrangement,en,PENDING
arrest,en,PENDING
arrival,en,PENDING
arrive,en,PENDING
art,en,PENDING
article,en,PENDING
artificial,en,PENDING
artist,en,PENDING
as,en,PENDING
ashamed,en,PENDING
aside,en,PENDING
ask,en,PENDING
asleep,en,PENDING
aspect,en,PENDING
assess,en,PENDING
assessment,en,PENDING
assignment,en,PENDING
assist,en,PENDING
assistance,en,PENDING
assistant,en,PENDING
associate,en,PENDING
association,en,PENDING
assume,en,PENDING
assumption,en,PENDING
assure,en,PENDING
at,en,PENDING
atmosphere,en,PENDING
attach,en,PENDING
attack,en,PENDING
attempt,en,PENDING
attend,en,PENDING
attention,en,PENDING
attitude,en,PENDING
attorney,en,PENDING
attract,en,PENDING
attraction,en,PENDING
attractive,en,PENDING
audience,en,PENDING
aunt,en,PENDING
author,en,PENDING
authority,en,PENDING
automatic,en,PENDING
automatically,en,PENDING
autumn,en,PENDING
available,en,PENDING
average,en,PENDING
avoid,en,PENDING
awake,en,PENDING
award,en,PENDING
aware,en,PENDING
awareness,en,PENDING
away,en,PENDING
awful,en,PENDING
awkward,en,PENDING
baby,en,PENDING
back,en,PENDING
background,en,PENDING
backwards,en,PENDING
bacon,en,PENDING
bad,en,PENDING
badly,en,PENDING
bag,en,PENDING
bake,en,PENDING
balance,en,PENDING
ball,en,PENDING
ban,en,PENDING
band,en,PENDING
bang,en,PENDING
bank,en,PENDING
bar,en,PENDING
barrier,en,PENDING
base,en,PENDING
baseball,en,PENDING
basic,en,PENDING
basically,en,PENDING
basis,en,PENDING
basket,en,PENDING
bat,en,PENDING
bath,en,PENDING
bathroom,en,PENDING
battery,en,PENDING
battle,en,PENDING
be,en,PENDING
beach,en,PENDING
bean,en,PENDING
bear,en,PENDING
beard,en,PENDING
beat,en,PENDING
beautiful,en,PENDING
beauty,en,PENDING
because,en,PENDING
become,en,PENDING
bed,en,PENDING
bedroom,en,PENDING
beef,en,PENDING
beer,en,PENDING
before,en,PENDING
beforehand,en,PENDING
begin,en,PENDING
beginning,en,PENDING
behalf,en,PENDING
behave,en,PENDING
behaviour,en,PENDING
behind,en,PENDING
being,en,PENDING
belief,en,PENDING
believe,en,PENDING
bell,en,PENDING
belong,en,PENDING
below,en,PENDING
belt,en,PENDING
bench,en,PENDING
bend,en,PENDING
beneath,en,PENDING
benefit,en,PENDING
beside,en,PENDING
best,en,PENDING
bet,en,PENDING
better,en,PENDING
between,en,PENDING
beyond,en,PENDING
bicycle,en,PENDING
bid,en,PENDING
big,en,PENDING
bike,en,PENDING
bill,en,PENDING
bin,en,PENDING
bird,en,PENDING
birth,en,PENDING
birthday,en,PENDING
biscuit,en,PENDING
bit,en,PENDING
bite,en,PENDING
bitter,en,PENDING
black,en,PENDING
blade,en,PENDING
blame,en,PENDING
blank,en,PENDING
bless,en,PENDING
blind,en,PENDING
block,en,PENDING
bloke,en,PENDING
blonde,en,PENDING
blood,en,PENDING
blow,en,PENDING
blue,en,PENDING
board,en,PENDING
boat,en,PENDING
body,en,PENDING
boil,en,PENDING
boiler,en,PENDING
boiling,en,PENDING
