lemma,language_code,status
"1 1. expressing aims, causes and effects",en,PENDING
"a indefinite article,",en,PENDING
"a range of different meanings, a variety of",en,PENDING
"about the most frequent words in english, but",en,PENDING
"academic purposes . this list gives the 600 most important words in academic speaking,",en,PENDING
"academic purposes eap. this list gives the 600 most important words in academic speaking,",en,PENDING
"all determiner,",en,PENDING
"all right adj, adv,",en,PENDING
"an indefinite article,",en,PENDING
"and a subset of the british academic spoken english base corpus, developed within the university of warwick",en,PENDING
"and a subset of the british academic spoken english corpus, developed within the university of warwick",en,PENDING
"and meanings given descriptive labels, for",en,PENDING
"and s3 for the top 1000, 2000 and 3000 most",en,PENDING
"and spoken english, and enable them to focus",en,PENDING
"and written english, based on statistical",en,PENDING
"any determiner, pron s1,",en,PENDING
"appropriate information, the longma",en,PENDING
"are in the top 1000, 2000 and 3000 most",en,PENDING
"both determiner,",en,PENDING
"different grammatical patterns, and numerous",en,PENDING
"divided into six sublists of 100 words each, with the most important words in sublist 1.",en,PENDING
"english because according to corpus analysis,",en,PENDING
"english) or bre , humorous,",en,PENDING
"english) or bre british english, humorous,",en,PENDING
"example formal or informal, ame (america",en,PENDING
"frequent words in spoken english. nowadays,",en,PENDING
"frequent words in written english, and s1 ,",en,PENDING
"funding from baleap, euralex, the british academy and the arts and humanities research council.",en,PENDING
"half predeterminer, pron,",en,PENDING
"jeremy harmer, el t author",en,PENDING
"knowing this list of words, a learner of english",en,PENDING
"learning a language can be exciting, but",en,PENDING
"less determiner, pron s1,",en,PENDING
"more attention on mastering the meanings,",en,PENDING
"mostly by written english; and spontaneous,",en,PENDING
"old-fashioned, but now they have the added",en,PENDING
"or table to be kept for you. in writing, however,",en,PENDING
"phoning a hotel or restaurant), book is the most",en,PENDING
"professor geoffrey leech,",en,PENDING
"real-time, less formal language, typified by",en,PENDING
"recommendation n s3,",en,PENDING
"same adj., pro",en,PENDING
"significant collocations. nonetheless, a basic",en,PENDING
"since prep, conj, adv s1,",en,PENDING
"such determiner,",en,PENDING
"that determiner, pron s1,",en,PENDING
"the definite article,",en,PENDING
"the fiction subcorpus of the oxford english corpus , the spoken element of the british national corpus bnc",en,PENDING
"the fiction subcorpus of the oxford english corpus , the spoken element of the british national corpus",en,PENDING
"the fiction subcorpus of the oxford english corpus oec, the spoken element of the british national corpus bnc",en,PENDING
"the fiction subcorpus of the oxford english corpus oec, the spoken element of the british national corpus",en,PENDING
"this determiner, pron s1,",en,PENDING
"this list gives around 250 important phrases for academic speaking, grouped into 16 functional areas.",en,PENDING
"this list gives around 370 important phrases for academic writing, grouped into 1 5 functional areas.",en,PENDING
"thoughtful, accurate and more formal, reflected",en,PENDING
"w1 , w2 , and w3 for words that",en,PENDING
"what he or she reads. of course, “knowing”",en,PENDING
"what pron, determiner,",en,PENDING
"when adv, conj, pron s1,",en,PENDING
"whenever adv, conj s2,",en,PENDING
"words in written english. however, the entry",en,PENDING
1 1. expressing the existence of something,en,PENDING
1 1. expressing the non-existence of something,en,PENDING
1 2. referring to the text and to other texts,en,PENDING
1 3. hedging and expressing degrees of certainty,en,PENDING
3000 is a very powerful tool and will help,en,PENDING
7 . making contrasts,en,PENDING
7 . using vague language,en,PENDING
86% of the language. this means that by,en,PENDING
a better understanding of,en,PENDING
a bit like,en,PENDING
a bit more about,en,PENDING
a bit more,en,PENDING
a bit of a...,en,PENDING
a bit of a…,en,PENDING
a bit of sth,en,PENDING
a bit,en,PENDING
a bomb went off.,en,PENDING
a certain amount of,en,PENDING
a change i,en,PENDING
a change in,en,PENDING
a combination of,en,PENDING
a consequence of,en,PENDING
a couple of sth,en,PENDING
a day or two,en,PENDING
a decline in student numbers,en,PENDING
a dream come true,en,PENDING
a few minutes,en,PENDING
a few times,en,PENDING
a few years,en,PENDING
a few,en,PENDING
a form of,en,PENDING
a function of,en,PENDING
a good idea,en,PENDING
a great deal better,en,PENDING
a great deal of sth,en,PENDING
a great deal,en,PENDING
a group of,en,PENDING
a high degree of,en,PENDING
a high level of,en,PENDING
a job for life,en,PENDING
a kind of,en,PENDING
a kind of...,en,PENDING
a lack of,en,PENDING
a large number of sth,en,PENDING
a large number of,en,PENDING
a little bit about,en,PENDING
a little bit more about,en,PENDING
a little bit of,en,PENDING
a little bit,en,PENDING
a little help,en,PENDING
a little money,en,PENDING
a little more,en,PENDING
a little sugar,en,PENDING
a little,en,PENDING
a long time ago,en,PENDING
a long time,en,PENDING
a long way,en,PENDING
a lot more,en,PENDING
a lot of sth,en,PENDING
a lot of,en,PENDING
a lot to do,en,PENDING
a lot,en,PENDING
a means of communication,en,PENDING
a means of sth,en,PENDING
a means of transport,en,PENDING
a means of,en,PENDING
a measure of,en,PENDING
a moment or two,en,PENDING
a number of different,en,PENDING
a number of sth,en,PENDING
a number of,en,PENDING
a period of time,en,PENDING
a pound or two,en,PENDING
a proportion of,en,PENDING
a range of sth,en,PENDING
a range of,en,PENDING
a reduction i,en,PENDING
a reduction in,en,PENDING
a rise in the number of visitors,en,PENDING
a sense of,en,PENDING
a series of,en,PENDING
a small number of,en,PENDING
a sort of,en,PENDING
a source of,en,PENDING
a type of,en,PENDING
a variety of situations. not only are the words,en,PENDING
a variety of sth,en,PENDING
a variety of,en,PENDING
a very important,en,PENDING
a way of,en,PENDING
a whole range of,en,PENDING
a whole series of,en,PENDING
a wide range of sth,en,PENDING
a wide range of,en,PENDING
a wide variety of,en,PENDING
a word involves more than simply being able,en,PENDING
a,en,PENDING
abando,en,PENDING
abandon,en,PENDING
ability,en,PENDING
able to do sth,en,PENDING
able,en,PENDING
abnormal,en,PENDING
abnormality,en,PENDING
abolish,en,PENDING
abortion,en,PENDING
about,en,PENDING
above all,en,PENDING
above,en,PENDING
abroad,en,PENDING
absence,en,PENDING
absent,en,PENDING
absolute,en,PENDING
absolutely,en,PENDING
absorb,en,PENDING
abstract,en,PENDING
absurd,en,PENDING
abundance,en,PENDING
abuse,en,PENDING
academic,en,PENDING
academy,en,PENDING
accelerate,en,PENDING
accent,en,PENDING
accept,en,PENDING
acceptable,en,PENDING
acceptance,en,PENDING
access to sth,en,PENDING
access,en,PENDING
accessible,en,PENDING
accident,en,PENDING
accidentally,en,PENDING
accommodate,en,PENDING
accommodatio,en,PENDING
accommodation,en,PENDING
accompany,en,PENDING
accomplish,en,PENDING
accomplishment,en,PENDING
accordance,en,PENDING
according to,en,PENDING
accordingly,en,PENDING
account for sth,en,PENDING
account,en,PENDING
accountability,en,PENDING
accountable,en,PENDING
accountant,en,PENDING
accounting,en,PENDING
accumulate,en,PENDING
accumulation,en,PENDING
accuracy,en,PENDING
accurate,en,PENDING
accurately,en,PENDING
accusation,en,PENDING
accuse,en,PENDING
accused of sth,en,PENDING
accused,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
acid,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
acquisition,en,PENDING
acre,en,PENDING
across,en,PENDING
act as sth,en,PENDING
act,en,PENDING
actio,en,PENDING
action,en,PENDING
activate,en,PENDING
activation,en,PENDING
active,en,PENDING
actively,en,PENDING
activist,en,PENDING
activity,en,PENDING
actor,en,PENDING
actual,en,PENDING
actually,en,PENDING
acute,en,PENDING
ad,en,PENDING
adapt,en,PENDING
adaptation,en,PENDING
adaptive,en,PENDING
add to sth,en,PENDING
add,en,PENDING
addiction,en,PENDING
additio,en,PENDING
addition,en,PENDING
additional,en,PENDING
additionally,en,PENDING
address,en,PENDING
adequate,en,PENDING
adequately,en,PENDING
adhere,en,PENDING
adjacent,en,PENDING
adjust,en,PENDING
adjustment,en,PENDING
administer,en,PENDING
administratio,en,PENDING
administration,en,PENDING
administrative,en,PENDING
administrator,en,PENDING
admire,en,PENDING
admissio,en,PENDING
admission,en,PENDING
admit,en,PENDING
adolescent,en,PENDING
adopt,en,PENDING
adoption,en,PENDING
adult,en,PENDING
advance,en,PENDING
advanced,en,PENDING
advantage,en,PENDING
adverse,en,PENDING
advert,en,PENDING
advertise,en,PENDING
advertisement,en,PENDING
advertising,en,PENDING
advice,en,PENDING
advise,en,PENDING
adviser,en,PENDING
advocate,en,PENDING
aesthetic,en,PENDING
affair,en,PENDING
affect,en,PENDING
affection,en,PENDING
afford,en,PENDING
affordable,en,PENDING
afraid,en,PENDING
after all,en,PENDING
after,en,PENDING
aftermath,en,PENDING
afternoo,en,PENDING
afternoon,en,PENDING
afterwards,en,PENDING
agai,en,PENDING
again and again,en,PENDING
again,en,PENDING
against,en,PENDING
age,en,PENDING
aged,en,PENDING
agency,en,PENDING
agenda,en,PENDING
agent,en,PENDING
aggression,en,PENDING
aggressive,en,PENDING
ago,en,PENDING
agree with sb,en,PENDING
agree,en,PENDING
agreement,en,PENDING
agricultural,en,PENDING
agriculture,en,PENDING
ahead,en,PENDING
aid,en,PENDING
aide,en,PENDING
aids,en,PENDING
aim to do sth,en,PENDING
aim,en,PENDING
aimed at doing sth,en,PENDING
aimed at sb,en,PENDING
air,en,PENDING
aircraft,en,PENDING
airline,en,PENDING
airport,en,PENDING
alarm,en,PENDING
albeit,en,PENDING
album,en,PENDING
alcohol,en,PENDING
alert,en,PENDING
alien,en,PENDING
align,en,PENDING
alignment,en,PENDING
alike,en,PENDING
alive,en,PENDING
all about...,en,PENDING
all about…,en,PENDING
all but,en,PENDING
all day,en,PENDING
all kinds of,en,PENDING
all kinds of...,en,PENDING
all kinds of…,en,PENDING
all night,en,PENDING
all over the world,en,PENDING
all over...,en,PENDING
all over…,en,PENDING
all right so,en,PENDING
all right,en,PENDING
all sorts of,en,PENDING
all sorts of...,en,PENDING
all sorts of…,en,PENDING
all sorts,en,PENDING
all the more,en,PENDING
all the time,en,PENDING
all the way,en,PENDING
all,en,PENDING
allegation,en,PENDING
allege,en,PENDING
allegedly,en,PENDING
alliance,en,PENDING
allocate,en,PENDING
allocation,en,PENDING
allow,en,PENDING
allowance,en,PENDING
ally,en,PENDING
almost,en,PENDING
alone,en,PENDING
along with sb,en,PENDING
along with sth,en,PENDING
along,en,PENDING
alongside,en,PENDING
already,en,PENDING
also indicates that a synonym for book is reserve,en,PENDING
also sometimes difficult and frustrating,en,PENDING
also,en,PENDING
alter,en,PENDING
alteration,en,PENDING
alternative to sth,en,PENDING
alternative,en,PENDING
alternatively,en,PENDING
although,en,PENDING
altogether,en,PENDING
aluminium,en,PENDING
always,en,PENDING
amateur,en,PENDING
amazing,en,PENDING
ambassador,en,PENDING
ambitio,en,PENDING
ambition,en,PENDING
ambulance,en,PENDING
amend,en,PENDING
amendment,en,PENDING
amid,en,PENDING
among,en,PENDING
amount,en,PENDING
amusing,en,PENDING
an awful lot of,en,PENDING
an effect o,en,PENDING
an effect on,en,PENDING
an effects o,en,PENDING
an effects on,en,PENDING
an essential guide to the most important words and phrases to know in the field of english for,en,PENDING
an example of,en,PENDING
an idea of,en,PENDING
an impact o,en,PENDING
an impact on,en,PENDING
an important role i,en,PENDING
an important role in,en,PENDING
an important role to play i,en,PENDING
an important role to play in,en,PENDING
an increase i,en,PENDING
an increase in,en,PENDING
an integral part of,en,PENDING
an understanding of,en,PENDING
an,en,PENDING
analogy,en,PENDING
analyse,en,PENDING
analysis of the 390 million words contained,en,PENDING
analysis of the longman corpus network,en,PENDING
analysis,en,PENDING
analyst,en,PENDING
analytical,en,PENDING
ancestor,en,PENDING
anchor,en,PENDING
ancient,en,PENDING
and all the rest of it,en,PENDING
and for which relevant permissions have been obtained. base was developed at the universities of warwick and,en,PENDING
and immediate form which words are really,en,PENDING
and it is difficult to know what to focus o,en,PENDING
and linguistics – university of lancaster,en,PENDING
and so o,en,PENDING
and so on and so forth,en,PENDING
and so on,en,PENDING
and things like that,en,PENDING
and written language.,en,PENDING
and you can see that,en,PENDING
and,en,PENDING
angel,en,PENDING
anger,en,PENDING
angle,en,PENDING
angry,en,PENDING
animal,en,PENDING
animation,en,PENDING
announce,en,PENDING
announcement,en,PENDING
annoy,en,PENDING
annual,en,PENDING
annually,en,PENDING
anonymous,en,PENDING
another,en,PENDING
answer,en,PENDING
anticipate,en,PENDING
anxiety,en,PENDING
anxious,en,PENDING
any,en,PENDING
anybody,en,PENDING
anyhow,en,PENDING
anyone else,en,PENDING
anyone,en,PENDING
anything else,en,PENDING
anything,en,PENDING
anyway,en,PENDING
anywhere,en,PENDING
apart from,en,PENDING
apart,en,PENDING
apartment,en,PENDING
apologize,en,PENDING
apology,en,PENDING
apparatus,en,PENDING
apparent,en,PENDING
apparently,en,PENDING
appeal to sb,en,PENDING
appeal,en,PENDING
appealing,en,PENDING
appear,en,PENDING
appearance,en,PENDING
appears to be,en,PENDING
appetite,en,PENDING
applaud,en,PENDING
apple,en,PENDING
applicable,en,PENDING
applicant,en,PENDING
applicatio,en,PENDING
application,en,PENDING
apply for sth,en,PENDING
apply to sb,en,PENDING
apply to sth,en,PENDING
apply,en,PENDING
appoint,en,PENDING
appointment,en,PENDING
appreciate,en,PENDING
appreciation,en,PENDING
approach,en,PENDING
