lemma,language_code,status
a carefully,en,PENDING
a copy,en,PENDING
a decision,en,PENDING
a information,en,PENDING
a plan,en,PENDING
a rule,en,PENDING
a situation,en,PENDING
a theory,en,PENDING
about money,en,PENDING
achieve money,en,PENDING
adj completely,en,PENDING
an agreement,en,PENDING
an amount,en,PENDING
and help,en,PENDING
and ideas,en,PENDING
another situation,en,PENDING
at information,en,PENDING
bad situation,en,PENDING
by information,en,PENDING
by situation,en,PENDING
can help,en,PENDING
clothes quickly,en,PENDING
computer information,en,PENDING
difficult situation,en,PENDING
disappear completely,en,PENDING
discover information,en,PENDING
earning money,en,PENDING
enough money,en,PENDING
especially money,en,PENDING
examined carefully,en,PENDING
feel strongly,en,PENDING
financial information,en,PENDING
for money,en,PENDING
future situation,en,PENDING
get across,en,PENDING
get agree,en,PENDING
get all,en,PENDING
get an,en,PENDING
get any,en,PENDING
get around,en,PENDING
get away,en,PENDING
get back,en,PENDING
get by,en,PENDING
get control,en,PENDING
get down,en,PENDING
get in,en,PENDING
get information,en,PENDING
get into,en,PENDING
get it,en,PENDING
get money,en,PENDING
get nearer,en,PENDING
get off,en,PENDING
get on,en,PENDING
get or,en,PENDING
get out,en,PENDING
get over,en,PENDING
get rid,en,PENDING
get sb,en,PENDING
get some,en,PENDING
get something,en,PENDING
get started,en,PENDING
get sth,en,PENDING
get thinner,en,PENDING
get to,en,PENDING
get together,en,PENDING
get up,en,PENDING
get your,en,PENDING
get yourself,en,PENDING
get zone,en,PENDING
give a,en,PENDING
give all,en,PENDING
give an,en,PENDING
give away,en,PENDING
give finish,en,PENDING
give in,en,PENDING
give information,en,PENDING
give it,en,PENDING
give more,en,PENDING
give one,en,PENDING
give or,en,PENDING
give some,en,PENDING
give someone,en,PENDING
give something,en,PENDING
give spin,en,PENDING
give sth,en,PENDING
give them,en,PENDING
give up,en,PENDING
give work,en,PENDING
give you,en,PENDING
give yourself,en,PENDING
giving money,en,PENDING
have a,en,PENDING
have accidentally,en,PENDING
have achieved,en,PENDING
have an,en,PENDING
have argued,en,PENDING
have arranged,en,PENDING
have as,en,PENDING
have become,en,PENDING
have been,en,PENDING
have bought,en,PENDING
have chance,en,PENDING
have clothes,en,PENDING
have come,en,PENDING
have completed,en,PENDING
have done,en,PENDING
have earned,en,PENDING
have eaten,en,PENDING
have everything,en,PENDING
have failed,en,PENDING
have fallen,en,PENDING
have finished,en,PENDING
have fuss,en,PENDING
have heard,en,PENDING
have just,en,PENDING
have left,en,PENDING
have lost,en,PENDING
have made,en,PENDING
have much,en,PENDING
have not,en,PENDING
have noticed,en,PENDING
have of,en,PENDING
have off,en,PENDING
have official,en,PENDING
have on,en,PENDING
have or,en,PENDING
have other,en,PENDING
have planned,en,PENDING
have problems,en,PENDING
have read,en,PENDING
have said,en,PENDING
have sb,en,PENDING
have sent,en,PENDING
have so,en,PENDING
have something,en,PENDING
have sth,en,PENDING
have the,en,PENDING
have time,en,PENDING
have to,en,PENDING
have used,en,PENDING
have written,en,PENDING
if information,en,PENDING
if money,en,PENDING
important facts,en,PENDING
in amount,en,PENDING
in information,en,PENDING
in quickly,en,PENDING
large amount,en,PENDING
look carefully,en,PENDING
make a,en,PENDING
make an,en,PENDING
make arrangements,en,PENDING
make big,en,PENDING
make eating,en,PENDING
make exists,en,PENDING
make herself,en,PENDING
make him,en,PENDING
make in,en,PENDING
make it,en,PENDING
make money,en,PENDING
make or,en,PENDING
make out,en,PENDING
make particular,en,PENDING
make people,en,PENDING
make plans,en,PENDING
make position,en,PENDING
make rules,en,PENDING
make set,en,PENDING
make shout,en,PENDING
make small,en,PENDING
make somebody,en,PENDING
make someone,en,PENDING
make something,en,PENDING
make space,en,PENDING
make speak,en,PENDING
make spill,en,PENDING
make squash,en,PENDING
make surc,en,PENDING
make sure,en,PENDING
make that,en,PENDING
make the,en,PENDING
make them,en,PENDING
make things,en,PENDING
make time,en,PENDING
make up,en,PENDING
make work,en,PENDING
make you,en,PENDING
make your,en,PENDING
make yourself,en,PENDING
more quickly,en,PENDING
more slowly,en,PENDING
much money,en,PENDING
n support,en,PENDING
ncw facts,en,PENDING
needing help,en,PENDING
of ideas,en,PENDING
of information,en,PENDING
of money,en,PENDING
or agreement,en,PENDING
or amount,en,PENDING
or carefully,en,PENDING
or claim,en,PENDING
or copy,en,PENDING
or decision,en,PENDING
or help,en,PENDING
or ideas,en,PENDING
or information,en,PENDING
or plan,en,PENDING
or situation,en,PENDING
other information,en,PENDING
owe money,en,PENDING
particular amount,en,PENDING
particular facts,en,PENDING
particular situation,en,PENDING
pass quickly,en,PENDING
pay money,en,PENDING
people situation,en,PENDING
place quickly,en,PENDING
point money,en,PENDING
provide money,en,PENDING
providing money,en,PENDING
put money,en,PENDING
read quickly,en,PENDING
relax completely,en,PENDING
s ideas,en,PENDING
save money,en,PENDING
secret information,en,PENDING
small amount,en,PENDING
so quickly,en,PENDING
someone quickly,en,PENDING
something information,en,PENDING
something quickly,en,PENDING
stops completely,en,PENDING
take action,en,PENDING
take along,en,PENDING
take away,en,PENDING
take care,en,PENDING
take discuss,en,PENDING
take down,en,PENDING
take it,en,PENDING
take off,en,PENDING
take on,en,PENDING
