lemma,language_code,status
a considerable,en,PENDING
a shoal of sardines,en,PENDING
a vociferous,en,PENDING
a well-deserved reputation,en,PENDING
abandon act affect the bottom line,en,PENDING
abandon an,en,PENDING
abide by a decision,en,PENDING
ability act on against,en,PENDING
abject misery,en,PENDING
abject poverty,en,PENDING
abject take industrial action,en,PENDING
abject terror,en,PENDING
abortive attempt,en,PENDING
abrasive manner,en,PENDING
absolutely address verb agreement,en,PENDING
absolutely delighted,en,PENDING
absolutely essential,en,PENDING
absolutely furious,en,PENDING
absolutely wonderful,en,PENDING
abuse trust,en,PENDING
academic year,en,PENDING
accent ~ a meeting,en,PENDING
accomplished actor,en,PENDING
account adopt a method,en,PENDING
accumulate experience,en,PENDING
achievements advantages outweigh the be left with little,en,PENDING
acquaintance sense of,en,PENDING
acquire a taste for,en,PENDING
acquire ~ reaction,en,PENDING
act as a go-between,en,PENDING
act as a referee,en,PENDING
act on a tip-off,en,PENDING
act your,en,PENDING
address a,en,PENDING
address an,en,PENDING
address noun mental agility,en,PENDING
adhere broker an,en,PENDING
adjourn a,en,PENDING
adjourn low-cost airline,en,PENDING
admiration all,en,PENDING
admit defeat,en,PENDING
adopt a method,en,PENDING
advanced allocate,en,PENDING
advanced ~ skills,en,PENDING
advantage alternative adjective,en,PENDING
adventure feasible,en,PENDING
adverse weather,en,PENDING
adverse ~ degree of accuracy,en,PENDING
advice realize your,en,PENDING
affect the bottom line,en,PENDING
affordable housing,en,PENDING
after careful consideration,en,PENDING
against your better judgement,en,PENDING
against your better,en,PENDING
age-old tradition,en,PENDING
agreed credit limit,en,PENDING
alight from a bus,en,PENDING
all-star cast,en,PENDING
allay fears,en,PENDING
allocate part of a,en,PENDING
allocate resources,en,PENDING
alternative ~ source,en,PENDING
amazing chain of events,en,PENDING
amazing chain of,en,PENDING
amazing degree of accuracy,en,PENDING
ample room,en,PENDING
announce record profits,en,PENDING
announce record,en,PENDING
annual tradition,en,PENDING
anti-ageing properties,en,PENDING
antisocial behaviour,en,PENDING
apology attempt ~ the books,en,PENDING
appear in court,en,PENDING
approve a plan,en,PENDING
approve a,en,PENDING
arduous journey,en,PENDING
argument auburn hair,en,PENDING
arises broad avenue,en,PENDING
arouse someones interest,en,PENDING
arrive at a,en,PENDING
arrive at an,en,PENDING
arrive at tribe of baboons,en,PENDING
ask for an extension,en,PENDING
ask for an,en,PENDING
aspects of the job,en,PENDING
aspects of the,en,PENDING
assess somethings value g,en,PENDING
assess somethings,en,PENDING
assignments tradition dates,en,PENDING
astronomical fees,en,PENDING
atmosphere be glad,en,PENDING
attack take something badly,en,PENDING
attend a ~ function,en,PENDING
attend a,en,PENDING
attend have a,en,PENDING
attention wanders,en,PENDING
attention ~ of insults,en,PENDING
authority ~ drawn into an argument,en,PENDING
automatic car,en,PENDING
awaken your interest,en,PENDING
awaken your,en,PENDING
award damages,en,PENDING
award noun ~ left with little alternative,en,PENDING
award verb ~ the only option open to,en,PENDING
baby ~ worth a try,en,PENDING
back adverb ~ little resemblance,en,PENDING
back in,en,PENDING
back noun,en,PENDING
back of,en,PENDING
back up conclusions,en,PENDING
balance noun,en,PENDING
balance the books,en,PENDING
balance verb,en,PENDING
banish wrinkles,en,PENDING
barrage of,en,PENDING
basic principle,en,PENDING
be awarded a penalty,en,PENDING
be drawn into an,en,PENDING
be given a yellow card,en,PENDING
be given a yellow,en,PENDING
be given a,en,PENDING
be given,en,PENDING
be glad,en,PENDING
be in for a,en,PENDING
be in poor,en,PENDING
be joined in matrimony,en,PENDING
be left with ~ alternative,en,PENDING
be on the,en,PENDING
be open,en,PENDING
be prospects for,en,PENDING
be the only option open,en,PENDING
be the only option,en,PENDING
be the only ~ open,en,PENDING
be worth a try,en,PENDING
be ~ a sentence,en,PENDING
be ~ a yellow card,en,PENDING
be ~ leave,en,PENDING
be ~ with little alternative,en,PENDING
bear in,en,PENDING
bear little,en,PENDING
bear the ~ of,en,PENDING
bear ~ resemblance,en,PENDING
become a,en,PENDING
become aware,en,PENDING
become boost broker an agreement,en,PENDING
bed of rice,en,PENDING
behaviour bored rigid,en,PENDING
belittle someones breach noun suspense,en,PENDING
belittle someones,en,PENDING
betray someones trust,en,PENDING
betray someones,en,PENDING
between ~ with tradition,en,PENDING
beyond reasonable doubt,en,PENDING
beyond reasonable,en,PENDING
beyond ~ through the defence,en,PENDING
bill ~ into song,en,PENDING
bitter enemy,en,PENDING
black economy,en,PENDING
blame mutter under your breath,en,PENDING
blank expression,en,PENDING
blatantly obvious,en,PENDING
blissfully happy,en,PENDING
blond hair,en,PENDING
bold experiment,en,PENDING
bombard someone with ~ accent,en,PENDING
bombard someone with,en,PENDING
bone idle,en,PENDING
booming voice,en,PENDING
boost sales,en,PENDING
boost your,en,PENDING
borrow heavily,en,PENDING
bottle up your feelings,en,PENDING
boundless energy,en,PENDING
breach a,en,PENDING
breach verb heavy burden,en,PENDING
break a ~ down,en,PENDING
break a,en,PENDING
break diplomatic relations,en,PENDING
break diplomatic,en,PENDING
break down,en,PENDING
break into a,en,PENDING
break into,en,PENDING
break noun ~ of energy,en,PENDING
break the cycle,en,PENDING
break the,en,PENDING
break verb ~ into laughter,en,PENDING
break with,en,PENDING
breed resentment,en,PENDING
bridge the gap,en,PENDING
bridge the,en,PENDING
bright idea,en,PENDING
bring back memories,en,PENDING
bring back,en,PENDING
bring call in,en,PENDING
bring stability,en,PENDING
bring up the subject,en,PENDING
bring up the,en,PENDING
bring ~ memories,en,PENDING
broach the,en,PENDING
broad automatic,en,PENDING
broad generalization,en,PENDING
broad outline,en,PENDING
broad shoulders,en,PENDING
brutally honest,en,PENDING
bubbly personality,en,PENDING
budget doesnt stretch,en,PENDING
build on the success,en,PENDING
build on the,en,PENDING
build up resistance,en,PENDING
build up your,en,PENDING
build up,en,PENDING
builds up,en,PENDING
bumper crop,en,PENDING
burst into tears,en,PENDING
burst into,en,PENDING
burst noun,en,PENDING
burst of,en,PENDING
burst verb,en,PENDING
bursting with energy,en,PENDING
bustling center,en,PENDING
by ~ control,en,PENDING
bygone era,en,PENDING
call a,en,PENDING
call an election,en,PENDING
call for a celebration,en,PENDING
call for a,en,PENDING
call in a,en,PENDING
call off a match,en,PENDING
call off a,en,PENDING
cant face the thought of,en,PENDING
cant face the ~ of,en,PENDING
cant ~ the thought of,en,PENDING
card passup a,en,PENDING
carry a risk,en,PENDING
carry a,en,PENDING
carry on a conversation,en,PENDING
carry on a,en,PENDING
carry out a risk assessment,en,PENDING
carry out dramatic,en,PENDING
carry outa,en,PENDING
carve a niche for yourself,en,PENDING
case implement a,en,PENDING
cast aspersions,en,PENDING
cast in the role of,en,PENDING
cast light ona,en,PENDING
cast noun sweeping,en,PENDING
cast verb ~ fundamentally,en,PENDING
cast ~ on a situation,en,PENDING
casual acquaintance,en,PENDING
catastrophic results,en,PENDING
caught in the crossfire,en,PENDING
caught in the crosstire,en,PENDING
cause make changes,en,PENDING
cautiously optimistic,en,PENDING
ceasefire comes into,en,PENDING
ceasefire trumped-up charges,en,PENDING
ceasefire ~ into effect,en,PENDING
celebrate the achievements,en,PENDING
celebrate the,en,PENDING
chair a committee,en,PENDING
challenge wide choice,en,PENDING
chance extenuating,en,PENDING
change beyond,en,PENDING
change imperceptibly,en,PENDING
change noun clarify a position,en,PENDING
change radically,en,PENDING
change takes place,en,PENDING
change takes,en,PENDING
change the,en,PENDING
change verb clinically proven,en,PENDING
change your,en,PENDING
change ~ about,en,PENDING
change ~ recognition,en,PENDING
changed clove of garlic,en,PENDING
changed woman,en,PENDING
channel of communication,en,PENDING
channel of,en,PENDING
charm talks collapse,en,PENDING
cheap source come out of a,en,PENDING
child prodigy,en,PENDING
childhood friends,en,PENDING
circle of friends,en,PENDING
circle of,en,PENDING
circumstances come down heavily on,en,PENDING
claim benefits,en,PENDING
claim noun,en,PENDING
claim verb,en,PENDING
clap of thunder,en,PENDING
clarify a,en,PENDING
clear a,en,PENDING
clear adjective,en,PENDING
clear up confusion,en,PENDING
clear verb,en,PENDING
clear your desk,en,PENDING
close adjective,en,PENDING
close noun,en,PENDING
close off a street,en,PENDING
cloud your judgement,en,PENDING
cloud your,en,PENDING
clove of garlic,en,PENDING
coin a phrase,en,PENDING
coin a term,en,PENDING
collateral damage,en,PENDING
come as a bit of a shock,en,PENDING
come as a bit of a,en,PENDING
come down ~ on,en,PENDING
come under,en,PENDING
come up conclusion in marked contrast,en,PENDING
come up with an,en,PENDING
come up witha,en,PENDING
come up,en,PENDING
comment back up,en,PENDING
commit a minor offence,en,PENDING
commit a ~ offence,en,PENDING
commitment cramped,en,PENDING
common knowledge,en,PENDING
communication close confidant,en,PENDING
compare favourably with,en,PENDING
comparison shatter someones,en,PENDING
compelling reason,en,PENDING
competition clear up,en,PENDING
complaint consequences appear in court,en,PENDING
complete a form,en,PENDING
complete stranger,en,PENDING
complete ~ reputation,en,PENDING
completely constant dollop of,en,PENDING
comply with the law,en,PENDING
comply with the,en,PENDING
comprehensive knowledge,en,PENDING
computer contempt,en,PENDING
concentrate the mind,en,PENDING
concentrate the,en,PENDING
concentration wavers,en,PENDING
concerted effort,en,PENDING
conclusions control,en,PENDING
conditions conversation,en,PENDING
conduct an investigation into a it is my firm conviction,en,PENDING
conduct an investigation into,en,PENDING
conduct an ~ into a crime,en,PENDING
confidence cordial relations,en,PENDING
confined space,en,PENDING
confront an,en,PENDING
confront issues,en,PENDING
confusion enrolona,en,PENDING
congested road,en,PENDING
considerable cramped conditions,en,PENDING
constructive criticism,en,PENDING
consummate professional,en,PENDING
contain your excitement,en,PENDING
contain your,en,PENDING
contest a verdict,en,PENDING
contest a,en,PENDING
contract crime,en,PENDING
contributing factor,en,PENDING
convincing victory,en,PENDING
convivial atmosphere,en,PENDING
cool reception,en,PENDING
core subject,en,PENDING
cost-cutting measure,en,PENDING
course of medication,en,PENDING
cover a lot of ground,en,PENDING
cover every eventuality,en,PENDING
cover ~ eventuality,en,PENDING
create a bad,en,PENDING
create a good,en,PENDING
create a ~ impression,en,PENDING
create an,en,PENDING
create instability,en,PENDING
credit-card fraud,en,PENDING
crime,en,PENDING
critical analysis,en,PENDING
critically ill,en,PENDING
criticism deathly hush,en,PENDING
crowded street,en,PENDING
cry write off a,en,PENDING
cultural heritage,en,PENDING
curb inflation,en,PENDING
current abide by a,en,PENDING
current driving,en,PENDING
current economic,en,PENDING
current ~ licence,en,PENDING
custodial sentence,en,PENDING
customer ~ in demand,en,PENDING
cut down on luxuries,en,PENDING
