lemma,language_code,status
--- pgina page_01.png ---,en,PENDING
--- pgina page_02.png ---,en,PENDING
--- pgina page_03.png ---,en,PENDING
--- pgina page_04.png ---,en,PENDING
--- pgina page_05.png ---,en,PENDING
--- pgina page_06.png ---,en,PENDING
--- pgina page_07.png ---,en,PENDING
--- pgina page_08.png ---,en,PENDING
--- pgina page_09.png ---,en,PENDING
--- pgina page_10.png ---,en,PENDING
--- pgina page_11.png ---,en,PENDING
--- pgina page_12.png ---,en,PENDING
--- pgina page_13.png ---,en,PENDING
--- pgina page_14.png ---,en,PENDING
--- pgina page_15.png ---,en,PENDING
--- pgina page_16.png ---,en,PENDING
--- pgina page_17.png ---,en,PENDING
--- pgina page_18.png ---,en,PENDING
--- pgina page_19.png ---,en,PENDING
--- pgina page_20.png ---,en,PENDING
--- pgina page_21.png ---,en,PENDING
--- pgina page_22.png ---,en,PENDING
--- pgina page_23.png ---,en,PENDING
--- pgina page_24.png ---,en,PENDING
[e.g. cloth paper chair] into a smaller neater,en,PENDING
[e.g. rage temper panic] they are suddenly in get around,en,PENDING
[e.g. slceves trousers] in order to make them exam] 33,en,PENDING
[e.g. sleeves trousers] in order,en,PENDING
a better understanding of,en,PENDING
a bit like,en,PENDING
a bit more about,en,PENDING
a bit more,en,PENDING
a bit of a,en,PENDING
a bit of sth,en,PENDING
a bit,en,PENDING
a bomb went off,en,PENDING
a carefully,en,PENDING
a certain amount of,en,PENDING
a change in,en,PENDING
a combination of,en,PENDING
a company turns over an amount of money it,en,PENDING
a consequence of,en,PENDING
a considerable,en,PENDING
a copy,en,PENDING
a couple of sth,en,PENDING
a day or two,en,PENDING
a decision,en,PENDING
a decline in student numbers,en,PENDING
a disagreement,en,PENDING
a discussion leads into another subject or,en,PENDING
a dream come true,en,PENDING
a few minutes,en,PENDING
a few times,en,PENDING
a few years,en,PENDING
a few,en,PENDING
a form of,en,PENDING
a function of,en,PENDING
a good idea,en,PENDING
a great deal better,en,PENDING
a great deal of sth,en,PENDING
a great deal of,en,PENDING
a great deal,en,PENDING
a group of people are giving money,en,PENDING
a group of,en,PENDING
a high degree of,en,PENDING
a high level of,en,PENDING
a information,en,PENDING
a ise in inflation ar increase in inflation 0 3,en,PENDING
a job 58 go up,en,PENDING
a job for life,en,PENDING
a kind of,en,PENDING
a lack of,en,PENDING
a large group,en,PENDING
a large number of sth,en,PENDING
a large number of,en,PENDING
a large temporary structure from a place by situation,en,PENDING
a little bit about,en,PENDING
a little bit more about,en,PENDING
a little bit of,en,PENDING
a little bit,en,PENDING
a little help,en,PENDING
a little money,en,PENDING
a little more,en,PENDING
a little sugar,en,PENDING
a little,en,PENDING
a long time ago,en,PENDING
a long time,en,PENDING
a long way,en,PENDING
a lot more,en,PENDING
a lot of sth,en,PENDING
a lot of,en,PENDING
a lot to do,en,PENDING
a lot,en,PENDING
a lower,en,PENDING
a means of communication,en,PENDING
a means of sth,en,PENDING
a means of transport,en,PENDING
a means of,en,PENDING
a measure of,en,PENDING
a moment or two,en,PENDING
a number of different,en,PENDING
a number of sth,en,PENDING
a number of,en,PENDING
a period of time,en,PENDING
a piece of work into smaller,en,PENDING
a place look tidier 37 discover information about them,en,PENDING
a place tidy,en,PENDING
a plan,en,PENDING
a political organization,en,PENDING
a pound or two,en,PENDING
a proportion of,en,PENDING
a range of sth,en,PENDING
a range of,en,PENDING
a reason for something bad happening which tred weak,en,PENDING
a reduction in,en,PENDING
a rise in the number of visitors,en,PENDING
a rule,en,PENDING
a sense of,en,PENDING
a series of,en,PENDING
a set of ideas they,en,PENDING
a shoal of sardines,en,PENDING
a signal,en,PENDING
a situation,en,PENDING
a small number of,en,PENDING
a sort of,en,PENDING
a source of,en,PENDING
a theory,en,PENDING
a type of,en,PENDING
a variety of sth,en,PENDING
a variety of,en,PENDING
a very important,en,PENDING
a vociferous,en,PENDING
a way of,en,PENDING
a way that is likely,en,PENDING
a well-deserved reputation,en,PENDING
a whole range of,en,PENDING
a whole series of,en,PENDING
a wide range of sth,en,PENDING
a wide range of,en,PENDING
a wide variety of,en,PENDING
abandon act affect the bottom line,en,PENDING
abandon an,en,PENDING
abandon,en,PENDING
abide by a decision,en,PENDING
abide by sth,en,PENDING
ability act on against,en,PENDING
ability,en,PENDING
abject misery,en,PENDING
abject poverty,en,PENDING
abject take industrial action,en,PENDING
abject terror,en,PENDING
able to do sth,en,PENDING
able,en,PENDING
abnormal,en,PENDING
abnormality,en,PENDING
abolish,en,PENDING
abortion is a highly conlentious issue,en,PENDING
abortion,en,PENDING
abortive attempt,en,PENDING
about 100 russian satellites are orbiting the earth,en,PENDING
about 30 nationalities were represented at the tournament,en,PENDING
about 45000 people worked in electronics in scotland,en,PENDING
about 5 000 ppeople attended a rally calling for peace,en,PENDING
about 60 prisoners havegone on hunger strike,en,PENDING
about money,en,PENDING
about something 51 wrap up sth,en,PENDING
about something for a long time often before pass by,en,PENDING
about,en,PENDING
above all fishing requires great patience,en,PENDING
above all,en,PENDING
above,en,PENDING
abrasive manner,en,PENDING
abroad,en,PENDING
abscesses should be bathed in warm salty water,en,PENDING
absence,en,PENDING
absent,en,PENDING
absolute,en,PENDING
absolutely address verb agreement,en,PENDING
absolutely critical,en,PENDING
absolutely delighted,en,PENDING
absolutely essential,en,PENDING
absolutely furious,en,PENDING
absolutely wonderful,en,PENDING
absolutely,en,PENDING
absorb,en,PENDING
abstract,en,PENDING
absurd,en,PENDING
abundance,en,PENDING
abundant,en,PENDING
abuse and scorn were heaped upon the new tax,en,PENDING
abuse ond scorn were heaped on the proposals,en,PENDING
abuse trust,en,PENDING
abuse was hurled at workers who crossed the picket line,en,PENDING
abuse,en,PENDING
academic year,en,PENDING
academic,en,PENDING
academy,en,PENDING
accede to sth,en,PENDING
accede,en,PENDING
accelerate,en,PENDING
accent ~ a meeting,en,PENDING
accent,en,PENDING
accept,en,PENDING
acceptable,en,PENDING
acceptance,en,PENDING
access o this in formation is severely restricted,en,PENDING
access to sth,en,PENDING
access to this information varies by social class,en,PENDING
access,en,PENDING
accessible,en,PENDING
accident,en,PENDING
accidental,en,PENDING
accidentally,en,PENDING
accidents of this sort are happening with increasing frequency,en,PENDING
accommodate,en,PENDING
accommodation,en,PENDING
accompanied by,en,PENDING
accompany,en,PENDING
accomplish,en,PENDING
accomplished actor,en,PENDING
accomplishment,en,PENDING
accordance,en,PENDING
according 1o a strict definition,en,PENDING
according to ancient legend the river is a goddess,en,PENDING
according to government sources two people diea in the incident,en,PENDING
according to her; her son could do no wrong,en,PENDING
according to leaked cabinet documents no compensation would be patd,en,PENDING
according to official statistics the island had 37 inkabitants,en,PENDING
according to,en,PENDING
accordingly,en,PENDING
account adopt a method,en,PENDING
account for sth,en,PENDING
account for the fact that,en,PENDING
account for,en,PENDING
account,en,PENDING
accountability,en,PENDING
accountable expenses,en,PENDING
accountable,en,PENDING
accountant,en,PENDING
accounting,en,PENDING
accumulate experience,en,PENDING
accumulate,en,PENDING
accumulation,en,PENDING
accuracy,en,PENDING
accurate,en,PENDING
accurately,en,PENDING
accusation,en,PENDING
accuse,en,PENDING
accused of sth,en,PENDING
accused,en,PENDING
achieve money,en,PENDING
achieve objectives,en,PENDING
achieve,en,PENDING
achievement,en,PENDING
achievements advantages outweigh the be left with little,en,PENDING
acid rain has caused severe erosion on the hillside,en,PENDING
acid,en,PENDING
acknowledge,en,PENDING
acne often clears up with a change indiet,en,PENDING
acollection will be taken at theend of the service,en,PENDING
acorridor connects his office with the main building,en,PENDING
acquaintance sense of,en,PENDING
acquire a taste for,en,PENDING
acquire ~ reaction,en,PENDING
acquire,en,PENDING
acquisition,en,PENDING
acre,en,PENDING
across,en,PENDING
act as a go-between,en,PENDING
act as a referee,en,PENDING
act as sth,en,PENDING
act on a tip-off,en,PENDING
act your,en,PENDING
act,en,PENDING
acting on a tip-aff,en,PENDING
action must be swift in order to prevent further damage,en,PENDING
action,en,PENDING
activate,en,PENDING
activation,en,PENDING
active,en,PENDING
actively,en,PENDING
activist,en,PENDING
activity 42 57 know something that should be kept secret,en,PENDING
activity begins,en,PENDING
activity that is difficult,en,PENDING
activity until it is finished especially when it is changes,en,PENDING
activity until,en,PENDING
activity,en,PENDING
actor,en,PENDING
actors have the reputation of being highly temperamental,en,PENDING
actors should never turn their backs on the audience,en,PENDING
actress,en,PENDING
actual,en,PENDING
actually,en,PENDING
acupuncture has been practised in chinafor thousands of years,en,PENDING
acute,en,PENDING
ad,en,PENDING
adam enquired politely whether they had enjoyed the show,en,PENDING
adapt your usual eating regime tomake it more nutritious,en,PENDING
adapt,en,PENDING
adaptability is essential to survival in a changing environment,en,PENDING
adaptation,en,PENDING
adaptations in plants occurover thousands of years,en,PENDING
adaptive,en,PENDING
add 3to each order to cover postage,en,PENDING
add a dash of lemon juice,en,PENDING
add a few drops of peppermint flavouring,en,PENDING
add a few drops of vanilia essence,en,PENDING
add a teaspoonful of mixed herbs,en,PENDING
add all the remaining ingredients and bring to the boil,en,PENDING
add an ending tomakethe verbagree with the subject,en,PENDING
add finely chopped parsiey,en,PENDING
add milk to produce soft dropping consistency,en,PENDING
add salt and pepper to taste in the quantity preferred,en,PENDING
add salt and pepper to taste,en,PENDING
add some hot english mustard,en,PENDING
add some sugar to the stewed appleitsstilla bittart,en,PENDING
add sth up,en,PENDING
add sult and pepper to taste in the quantity preferred,en,PENDING
add sult and pepper to taste,en,PENDING
add the powder when the water is at boiling,en,PENDING
add the soured cream and cook stirring until just warm,en,PENDING
add the water and knead the mixture well,en,PENDING
add to sth,en,PENDING
add up sth,en,PENDING
add up to sth,en,PENDING
add up,en,PENDING
add,en,PENDING
adda little grated orange peel,en,PENDING
addiction,en,PENDING
adding these safety features would make the cars too expensive,en,PENDING
addition,en,PENDING
additional,en,PENDING
additionally,en,PENDING
address a,en,PENDING
address an,en,PENDING
address noun mental agility,en,PENDING
address,en,PENDING
addressing customers in their own language helps create goodwill,en,PENDING
adequate,en,PENDING
adequately,en,PENDING
adetective ison the caseat the moment,en,PENDING
adhere broker an,en,PENDING
adhere to sth,en,PENDING
adhere,en,PENDING
adj completely,en,PENDING
adj,en,PENDING
adj.,en,PENDING
adjacent,en,PENDING
adjourn a,en,PENDING
adjourn low-cost airline,en,PENDING
adjust,en,PENDING
adjustment,en,PENDING
adlibis anabbreviation of the latin phruse ad libitum abhorrent,en,PENDING
administer,en,PENDING
administration,en,PENDING
administrative,en,PENDING
administrator,en,PENDING
admiration all,en,PENDING
admire,en,PENDING
admission is obtained by writien application,en,PENDING
admission,en,PENDING
admit defeat,en,PENDING
admit,en,PENDING
adolescent,en,PENDING
adopt a method,en,PENDING
adopt,en,PENDING
adoption,en,PENDING
adult,en,PENDING
adulthood and responsibility seemed impossibly remate,en,PENDING
adv.,en,PENDING
advance copies of the book were sent out o reviewers,en,PENDING
advance,en,PENDING
advanced allocate,en,PENDING
advanced and successful than other people or selling 11,en,PENDING
advanced and successful than other people,en,PENDING
advanced ~ skills,en,PENDING
advanced,en,PENDING
advances in technology would,en,PENDING
advantage alternative adjective,en,PENDING
advantage,en,PENDING
advent,en,PENDING
adventure camps areconsidered to be character-building,en,PENDING
adventure feasible,en,PENDING
adventure,en,PENDING
adverse weather,en,PENDING
adverse winds swept the boat off course,en,PENDING
adverse ~ degree of accuracy,en,PENDING
adverse,en,PENDING
advert,en,PENDING
advertise,en,PENDING
advertisement,en,PENDING
advertising mania appeared in the paper,en,PENDING
advertising,en,PENDING
advice realize your,en,PENDING
advice,en,PENDING
advise,en,PENDING
adviser,en,PENDING
advisor,en,PENDING
advocate,en,PENDING
aesthetic,en,PENDING
affair,en,PENDING
affect the bottom line,en,PENDING
affect,en,PENDING
affection,en,PENDING
afford,en,PENDING
affordable housing,en,PENDING
affordable,en,PENDING
afier ashortwhile it began to blowa blizzard,en,PENDING
afightensued which leftone man dead,en,PENDING
afraid 46 dumb up sth,en,PENDING
afraid,en,PENDING
african black greek western world etc,en,PENDING
african rand exchange rate,en,PENDING
after @ moment we followed him,en,PENDING
after @ moments hesitation henodded,en,PENDING
after a cursory glance at the report he frowned,en,PENDING
after a fairly lengthy delay wewere able to contine,en,PENDING
after a minute she recovered enough to speak,en,PENDING
after a slack period business is now picking up,en,PENDING
after a successful pilot ex,en,PENDING
after a week of festivities life returned to normal,en,PENDING
after a while she regained the use of her fingers,en,PENDING
after about six hours the battery will run down,en,PENDING
after all,en,PENDING
after an hour rick began to ire,en,PENDING
after appiying the cream comb through to ensure even distribution,en,PENDING
after careful consideration,en,PENDING
after carefuldeliberation it was agreed to abandan theproject,en,PENDING
after dark the plants stop producing oxygen,en,PENDING
after heavy rain the littlestream becomesa raging torrent,en,PENDING
after her retirement from the stageshe began todrink,en,PENDING
