lemma,language_code,status
[e.g. cloth paper chair] into a smaller neater,en,PENDING
[e.g. rage temper panic] they are suddenly in get around,en,PENDING
[e.g. sleeves trousers] in order,en,PENDING
a company turns over an amount of money it,en,PENDING
a disagreement,en,PENDING
a discussion leads into another subject or,en,PENDING
a group of people are giving money,en,PENDING
a job 58 go up,en,PENDING
a large group,en,PENDING
a large temporary structure from a place by situation,en,PENDING
a lower,en,PENDING
a piece of work into smaller,en,PENDING
a place look tidier 37 discover information about them,en,PENDING
a place tidy,en,PENDING
a plan,en,PENDING
a political organization,en,PENDING
a reason for something bad happening which tred weak,en,PENDING
a set of ideas they,en,PENDING
a signal,en,PENDING
a way that is likely,en,PENDING
abide by sth,en,PENDING
able,en,PENDING
about something 51 wrap up sth,en,PENDING
about something for a long time often before pass by,en,PENDING
accede,en,PENDING
account for sth,en,PENDING
activity 42 57 know something that should be kept secret,en,PENDING
activity begins,en,PENDING
activity that is difficult,en,PENDING
activity until it is finished especially when it is changes,en,PENDING
activity,en,PENDING
add sth up,en,PENDING
add up sth,en,PENDING
add up,en,PENDING
adhere,en,PENDING
advanced and successful than other people,en,PENDING
afraid 46 dumb up sth,en,PENDING
afraid,en,PENDING
after it has happened,en,PENDING
against before after someone has persnaded clear out,en,PENDING
against it 26 bad experience is caused by something else,en,PENDING
against something 16 idea,en,PENDING
agree with sb,en,PENDING
agree with someone,en,PENDING
agree,en,PENDING
agreement falls apart it fails,en,PENDING
agreement in talks 3 relationship with someone,en,PENDING
aim at doing sth,en,PENDING
aim at sth sth,en,PENDING
aim sth at,en,PENDING
airport at different heights waiting,en,PENDING
allows water air,en,PENDING
already doing often without being invited there,en,PENDING
amount fighting,en,PENDING
amount number,en,PENDING
amount of money 36 show in sb,en,PENDING
amount of something [e.g. cash up,en,PENDING
amount of sound,en,PENDING
amount size,en,PENDING
amount,en,PENDING
amounts 7 gather up sth,en,PENDING
an accident,en,PENDING
an animal in a threatening close off sth,en,PENDING
an argument 24 although it is difficult,en,PENDING
an elected position,en,PENDING
an event it is one of the results,en,PENDING
an idea,en,PENDING
an organization 15 happens until that event,en,PENDING
an organization 35 impose sth onfupon sb,en,PENDING
an organization 51 be glued,en,PENDING
an unpleasant situation,en,PENDING
and easier,en,PENDING
and educate them until they are old enough,en,PENDING
and seems likely,en,PENDING
and treat them differently 33 be,en,PENDING
and usually flatter shape by folding it or,en,PENDING
animal 47 work yourself into sth ro make yourself become,en,PENDING
animal attack someone 3 22 shut down sth,en,PENDING
animal attack someone 3 22 shut down,en,PENDING
animal,en,PENDING
announcement,en,PENDING
annoying 14 something and,en,PENDING
another team,en,PENDING
anything 32 break off sth,en,PENDING
appears in large amounts 48 run through sth,en,PENDING
approved,en,PENDING
are angry with contend with sth,en,PENDING
are angry with cope with sth,en,PENDING
are going 10 building by using force usually in order,en,PENDING
are hiding in 47 gear sth to sb,en,PENDING
are hiding in 47 gear sth to sth,en,PENDING
are hiding in 47 gear sth towards sb,en,PENDING
are hiding in 47 gear sth towards sth,en,PENDING
are in pain 44 drop out,en,PENDING
are made,en,PENDING
are put in a higher level,en,PENDING
are very surprized by it 60 take up sth with,en,PENDING
are very surprized by it 60 take up sth,en,PENDING
area 47 is needed,en,PENDING
argument 24 with a problem,en,PENDING
around a place often in order,en,PENDING
around change an unsuccessful business plan people who are going,en,PENDING
around the house,en,PENDING
around,en,PENDING
arrange for something,en,PENDING
