lemma,language_code,status
a few,en,PENDING
a great deal of,en,PENDING
a little,en,PENDING
a wide range of,en,PENDING
abandon,en,PENDING
above,en,PENDING
absence,en,PENDING
absolutely critical,en,PENDING
abstract,en,PENDING
abundant,en,PENDING
accident,en,PENDING
accidental,en,PENDING
accidentally,en,PENDING
accommodate,en,PENDING
accommodation,en,PENDING
accompanied by,en,PENDING
according to,en,PENDING
account for,en,PENDING
account for the fact that,en,PENDING
accountable expenses,en,PENDING
accumulate,en,PENDING
accurate,en,PENDING
achieve,en,PENDING
achieve objectives,en,PENDING
acknowledge,en,PENDING
acquire,en,PENDING
adapt,en,PENDING
add up,en,PENDING
address,en,PENDING
adjacent,en,PENDING
adjust,en,PENDING
administration,en,PENDING
adopt,en,PENDING
advance,en,PENDING
advantage,en,PENDING
advent,en,PENDING
advisor,en,PENDING
affect,en,PENDING
age,en,PENDING
aggregate,en,PENDING
aim,en,PENDING
albeit,en,PENDING
allegedly,en,PENDING
allocate,en,PENDING
allow,en,PENDING
almost,en,PENDING
alter,en,PENDING
alternative,en,PENDING
ambiguous,en,PENDING
amend,en,PENDING
amount,en,PENDING
amount to,en,PENDING
analogy,en,PENDING
analyse,en,PENDING
analyse a sample,en,PENDING
analysis,en,PENDING
and so forth,en,PENDING
and so on,en,PENDING
animated,en,PENDING
annual,en,PENDING
answer,en,PENDING
anyway,en,PENDING
apart from,en,PENDING
apparatus,en,PENDING
apparent,en,PENDING
apparently,en,PENDING
appear,en,PENDING
appendix,en,PENDING
application,en,PENDING
appreciate,en,PENDING
approach,en,PENDING
appropriate,en,PENDING
approximate,en,PENDING
approximately,en,PENDING
archives,en,PENDING
argue,en,PENDING
argue against,en,PENDING
argue for,en,PENDING
argument,en,PENDING
arise,en,PENDING
arrive at an answer,en,PENDING
article,en,PENDING
artificial,en,PENDING
artificially,en,PENDING
as a result of,en,PENDING
as a rule,en,PENDING
as a whole,en,PENDING
as can be seen in,en,PENDING
as far as x is concerned,en,PENDING
as noted,en,PENDING
as opposed to,en,PENDING
as regards,en,PENDING
as time is (running) short,en,PENDING
as we have seen,en,PENDING
as we saw in,en,PENDING
as well as,en,PENDING
aspect,en,PENDING
assemble,en,PENDING
assert,en,PENDING
assertion,en,PENDING
assessment,en,PENDING
assign,en,PENDING
assignment,en,PENDING
associate (with),en,PENDING
assume,en,PENDING
assumption,en,PENDING
at a stage,en,PENDING
at first,en,PENDING
at last,en,PENDING
at random,en,PENDING
at the end,en,PENDING
at the moment,en,PENDING
at the same time,en,PENDING
at this point,en,PENDING
at this stage,en,PENDING
atmosphere,en,PENDING
attack,en,PENDING
attain,en,PENDING
attempt,en,PENDING
attend to,en,PENDING
attention,en,PENDING
attitude,en,PENDING
attribute to,en,PENDING
automate,en,PENDING
autonomy,en,PENDING
average,en,PENDING
award,en,PENDING
awareness,en,PENDING
background,en,PENDING
bank account,en,PENDING
bar chart,en,PENDING
base,en,PENDING
base on,en,PENDING
based,en,PENDING
basically,en,PENDING
basis,en,PENDING
battle,en,PENDING
battle against,en,PENDING
be (commonly) associated with,en,PENDING
be based on,en,PENDING
