lemma,language_code,status
"abandon an attempt",en,VALID
"abide by a decision",en,VALID
"abject apology",en,VALID
"abject failure",en,VALID
"abortive attempt",en,VALID
"absolutely delighted",en,VALID
"absolutely furious",en,VALID
"absolutely no idea have",en,VALID
"accent broad",en,VALID
"accolade highest",en,VALID
"account detailed",en,VALID
"account exhaustive",en,VALID
"accumulate experience noun",en,VALID
"achieve money",en,VALID
"acquaintance casual",en,VALID
"acumen financial",en,VALID
"adapt to changing circumstances",en,VALID
"adhere to beliefs",en,VALID
"adhere to ideals",en,VALID
"adj completely",en,VALID
"admiration express",en,VALID
"admit defeat",en,VALID
"advanced computer skills",en,VALID
"adverse weather conditions",en,VALID
"advice follow",en,VALID
"affect the bottom line",en,VALID
"affordable housing",en,VALID
"agreed credit limit credit",en,VALID
"all-star cast",en,VALID
"allay fears",en,VALID
"allocate part of a budget",en,VALID
"alternative energy source energy",en,VALID
"alternative feasible",en,VALID
"amazing chain of events",en,VALID
"another situation",en,VALID
"anti-ageing properties",en,VALID
"anticipation eager",en,VALID
"antisocial behaviour",en,VALID
"appear in court",en,VALID
"appreciate greatly",en,VALID
"arrive at a conclusion",en,VALID
"arrow of communication",en,VALID
"aspects of the job",en,VALID
"astronomical fees",en,VALID
"atmosphere convivial",en,VALID
"atmosphere evoke an",en,VALID
"attend a formal function formal",en,VALID
"attention undivided",en,VALID
"attention wanders",en,VALID
"auburn hair",en,VALID
"authority exercise verb",en,VALID
"automatic car",en,VALID
"avenue broad",en,VALID
"award damages",en,VALID
"awarded a penalty be",en,VALID
"aware become",en,VALID
"back in fashion",en,VALID
"back of beyond",en,VALID
"back up conclusions",en,VALID
"bad situation",en,VALID
"balance the books",en,VALID
"banish wrinkles",en,VALID
"barrage of insults",en,VALID
"barrage of questions",en,VALID
"bear in mind",en,VALID
"become a habit",en,VALID
"become aware",en,VALID
"bed of rice",en,VALID
"behaviour antisocial",en,VALID
"behaviour disorderly",en,VALID
"behaviour good",en,VALID
"belittle someone's achievements",en,VALID
"beyond reasonable doubt",en,VALID
"beyond recognition change",en,VALID
"bidder highest",en,VALID
"black economy",en,VALID
"blatantly obvious",en,VALID
"blissfully happy",en,VALID
"blond hair",en,VALID
"bombard someone with questions",en,VALID
"book heavy",en,VALID
"boost profits",en,VALID
"boost sales",en,VALID
"boost spirits",en,VALID
"boost your confidence",en,VALID
"borrow heavily",en,VALID
"bottle up your feelings",en,VALID
"breach a contract",en,VALID
"bread hunk of",en,VALID
"break diplomatic relations",en,VALID
"break down",en,VALID
"break into a run",en,VALID
"break into song",en,VALID
"break news",en,VALID
"break the cycle cut verb",en,VALID
"break through the defence",en,VALID
"break with tradition",en,VALID
"bridge the gap",en,VALID
"bright idea",en,VALID
"bring back memories",en,VALID
"bring to a close",en,VALID
"bring to a halt noun",en,VALID
"broad avenue",en,VALID
"broad shoulders",en,VALID
"build on the success",en,VALID
"burden heavy",en,VALID
"burst into laughter",en,VALID
"burst into song",en,VALID
"burst into tears",en,VALID
"burst of energy",en,VALID
"bursting with energy",en,VALID
"bustling centre",en,VALID
"bygone era",en,VALID
"call a halt noun",en,VALID
"call for a ceasefire",en,VALID
"call for a celebration",en,VALID
"call in the receivers",en,VALID
"car automatic",en,VALID
"car hybrid",en,VALID
"carry on a conversation",en,VALID
"carry out a risk assessment",en,VALID
"cast aspersions",en,VALID
"cast star-studded",en,VALID
"catastrophe environmental",en,VALID
"catastrophic results",en,VALID
"caught in the crossfire",en,VALID
"ceasefire comes into effect",en,VALID
"celebrate the achievements",en,VALID
"centre bustling",en,VALID
"chair a committee",en,VALID
"chance fat",en,VALID
"chance have got the",en,VALID
"change beyond recognition",en,VALID
"change comes about",en,VALID
"change dramatic",en,VALID
"change dramatically",en,VALID
"change fundamental",en,VALID
"change fundamentally",en,VALID
"change sweeping",en,VALID
"change your ways",en,VALID
"channel of communication",en,VALID
"chat heart-to-heart",en,VALID
"childhood friends",en,VALID
"children gifted",en,VALID
"circle of friends",en,VALID
"circumstances adapt to changing",en,VALID
"circumstances extenuating",en,VALID
"circumstances mitigating",en,VALID
"claim benefits",en,VALID
"claim fraudulent",en,VALID
"clap of thunder",en,VALID
"clear a debt",en,VALID
"clear distinction",en,VALID
"clear up confusion",en,VALID
"close confidant",en,VALID
"close friends",en,VALID
"clothes quickly",en,VALID
"clove of garlic",en,VALID
"come down heavily on heavily",en,VALID
"come out of a coma",en,VALID
"come to a conclusion",en,VALID
"come under attack",en,VALID
"come up with a suggestion",en,VALID
"come up with an alternative",en,VALID
"come up with an idea",en,VALID
"comes about change",en,VALID
"comes into effect ceasefire",en,VALID
"comes true dream",en,VALID
"comment fair",en,VALID
"commitment honour a",en,VALID
"communication establish",en,VALID
"competition fierce",en,VALID
"competition healthy",en,VALID
"complaint grounds for",en,VALID
"complete disaster",en,VALID
"completely dependent",en,VALID
"completely different",en,VALID
"complexion flawless",en,VALID
"comply with the law",en,VALID
"computer information",en,VALID
"concentration wavers",en,VALID
"conclusion foregone",en,VALID
"conditions cramped",en,VALID
"confidant close",en,VALID
"conform to safety regulations",en,VALID
"confront issues",en,VALID
"confusion clear up",en,VALID
"consequences disastrous",en,VALID
"considerable experience noun",en,VALID
"constant nagging",en,VALID
"constructive criticism",en,VALID
"contain your excitement",en,VALID
"contradict flatly",en,VALID
"contribution lasting",en,VALID
"control tighten controls",en,VALID
"convivial atmosphere",en,VALID
"cordial relations",en,VALID
"course enrol on a",en,VALID
"course of medication",en,VALID
"cover every eventuality every",en,VALID
"cramped conditions",en,VALID
"create a bad impression",en,VALID
"create a good impression good",en,VALID
"create an atmosphere",en,VALID
"create an effect",en,VALID
"credit-card fraud credit",en,VALID
"critical analysis",en,VALID
"criticism constructive",en,VALID
"criticism mounting",en,VALID
"critique in-depth",en,VALID
"crop bumper",en,VALID
"cry strangled",en,VALID
"current driving licence driving",en,VALID
"current economic climate",en,VALID
"current economic climate economic",en,VALID
"customer satisfied",en,VALID
"cut verb through red tape",en,VALID
"cutting-edge design",en,VALID
"damage collateral",en,VALID
"danger grave",en,VALID
"dash of cream",en,VALID
"dawn breaks",en,VALID
"dead easy",en,VALID
"deal with the complexities",en,VALID
"death hasten someone's",en,VALID
"debt outstanding",en,VALID
"debt run up a huge",en,VALID
"declare outright hostility",en,VALID
"decline in demand",en,VALID
"decline in demand noun",en,VALID
"decline to comment",en,VALID
"default on repayments",en,VALID
"defeat humiliating",en,VALID
"defence vigorous",en,VALID
"delinquent juvenile",en,VALID
"deliriously happy",en,VALID
"demand an explanation",en,VALID
"dependent completely",en,VALID
"dependent entirely",en,VALID
"deploy troops",en,VALID
"derelict building",en,VALID
"design cutting-edge",en,VALID
"design eco-friendly",en,VALID
"designer label design",en,VALID
"desire desperate",en,VALID
"desired effect desperate",en,VALID
"develop a good relationship good",en,VALID
"devote energy to energy",en,VALID
"dies down traffic",en,VALID
"different completely",en,VALID
"different entirely",en,VALID
"different explore different ways",en,VALID
"different fundamentally",en,VALID
"difficult situation",en,VALID
"difficulty arises",en,VALID
"difficulty encounter a",en,VALID
"dim distant",en,VALID
"dip into emergency funds",en,VALID
"dip into savings",en,VALID
"dire consequences",en,VALID
"disappear completely",en,VALID
"disaster complete",en,VALID
"disaster strikes",en,VALID
"disaster unmitigated",en,VALID
"disastrous consequences",en,VALID
"disband an army",en,VALID
"disclosure damaging",en,VALID
"discover information",en,VALID
"disease infectious",en,VALID
"disgrace downright",en,VALID
"dislike intense",en,VALID
"dismal failure",en,VALID
"dismiss a case",en,VALID
"disorder public",en,VALID
"disorderly behaviour",en,VALID
"disparity growing",en,VALID
"display characteristics",en,VALID
"display dazzling",en,VALID
"display noun dazzling",en,VALID
"display verb characteristics",en,VALID
"disposal of household waste",en,VALID
"dispute arises",en,VALID
"distant memory distant",en,VALID
"distinction clear",en,VALID
"divided opinions",en,VALID
"divorce file for",en,VALID
"doesn't stretch to budget",en,VALID
"dollop of cream",en,VALID
"doom to failure",en,VALID
"doubt nagging",en,VALID
"doubts niggling",en,VALID
"draconian measures",en,VALID
"dramatic change",en,VALID
"dramatically change",en,VALID
"draw a comparison between",en,VALID
"draw up a contract",en,VALID
"drawn into an argument be",en,VALID
"dream comes true",en,VALID
"drive fresh",en,VALID
"drive someone crazy",en,VALID
"driving licence current",en,VALID
"drop of brandy",en,VALID
"drop someone an email",en,VALID
"dry run",en,VALID
"dysfunctional family",en,VALID
"eager anticipation",en,VALID
"earn a good living",en,VALID
"earning money",en,VALID
"easy dead",en,VALID
"echo distant",en,VALID
"eco-friendly design",en,VALID
"economic climate current",en,VALID
"economy black",en,VALID
"education formal",en,VALID
"effect desired",en,VALID
"effort concerted",en,VALID
"effort determined",en,VALID
"effort strenuous",en,VALID
"elapse decades",en,VALID
"election call an",en,VALID
"electorate mislead the",en,VALID
"elsewhere take your custom",en,VALID
"emergency dip into emergency funds",en,VALID
"emergency meeting",en,VALID
"emotion flicker of",en,VALID
"encounter a difficulty",en,VALID
"enemy bitter",en,VALID
"energy boundless",en,VALID
"energy to devote",en,VALID
"engage in hostilities",en,VALID
"engage someone in conversation",en,VALID
"enjoy good health",en,VALID
"enjoy good health good",en,VALID
"enjoy great success",en,VALID
"enough money",en,VALID
"enrol on a course",en,VALID
"enter into a contract",en,VALID
"enter into a discussion",en,VALID
"enter into an agreement",en,VALID
"enter into talks",en,VALID
"enthusiasm unbounded",en,VALID
"entirely dependent",en,VALID
"entirely different",en,VALID
"entreaty passionate",en,VALID
"environment harmful to the",en,VALID
"environmental catastrophe",en,VALID
"epic proportions",en,VALID
"equation simultaneous",en,VALID
"equipment install",en,VALID
"era bygone",en,VALID
"era golden",en,VALID
"error of judgement",en,VALID
"especially money",en,VALID
"essential absolutely",en,VALID
"establish a cause",en,VALID
"establish a good relationship good",en,VALID
"establish research ethics",en,VALID
"euphoria state of",en,VALID
"event marks",en,VALID
"eventuality cover every",en,VALID
"every confidence in have",en,VALID
"every eventuality cover",en,VALID
"evidence emerges",en,VALID
"evidence give",en,VALID
"evoke an atmosphere",en,VALID
"exacting standards",en,VALID
"examined carefully",en,VALID
"exceed expectations",en,VALID
"exchange verb news",en,VALID
"exchange verb pleasantries",en,VALID
"exclusion social",en,VALID
"excuse feeble",en,VALID
"exercise authority",en,VALID
"exercise gentle",en,VALID
"exercise greater control over control",en,VALID
"exercise greater control over greater",en,VALID
"exertion physical",en,VALID
"expanse vast",en,VALID
"expectations exceed",en,VALID
"experience a decline",en,VALID
"experience a fall noun",en,VALID
"experience a growth",en,VALID
"experience considerable",en,VALID
"experience difficulties",en,VALID
"experience verb difficulties",en,VALID
"experiment bold",en,VALID
"explanation full",en,VALID
"explore different ways",en,VALID
"explorer intrepid",en,VALID
"expression blank",en,VALID
"extension ask for an",en,VALID
"extension request an",en,VALID
"extenuating circumstances",en,VALID
"exterior gruff",en,VALID
"fabric the social",en,VALID
"face a grilling",en,VALID
"face severe weather conditions",en,VALID
"face the challenge",en,VALID
"face the consequences",en,VALID
"face the facts",en,VALID
"face up to the facts",en,VALID
"faceless bureaucrats",en,VALID
"factor contributing",en,VALID
"factor deciding",en,VALID
"factor mitigating",en,VALID
"factor the deciding",en,VALID
"failure dismal",en,VALID
"faintly ridiculous",en,VALID
"fair comment",en,VALID
"fair few",en,VALID
"fairytale wedding",en,VALID
"fall into a coma",en,VALID
"fall verb into a coma",en,VALID
"fall verb into a pattern",en,VALID
"falls on festival",en,VALID
"falsify records",en,VALID
"fame meteoric rise to",en,VALID
"family dysfunctional",en,VALID
"family gathering",en,VALID
"farm offshore wind",en,VALID
"fashion high-street",en,VALID
"fat chance",en,VALID
"favourably with compare",en,VALID
"feast movable",en,VALID
"feel strongly",en,VALID
"feel the full effect",en,VALID
"feel the full effect full",en,VALID
"feet get itchy",en,VALID
"festival celebrates",en,VALID
"festival marks",en,VALID
"field verb questions",en,VALID
"fierce competition",en,VALID
"fight verb for survival",en,VALID
"fight verb for your life",en,VALID
"file for divorce",en,VALID
"fill in a form",en,VALID
"financial information",en,VALID
"find guilty",en,VALID
"find happiness",en,VALID
"find not guilty",en,VALID
"fine lines",en,VALID
"firm friends",en,VALID
"fish shoal of",en,VALID
"fit adjective for purpose",en,VALID
"fit noun of jealousy",en,VALID
"fit verb in with plans",en,VALID
"flak take the",en,VALID
"flatly contradict",en,VALID
"flawless complexion",en,VALID
"flicker of emotion",en,VALID
"flicker of hope",en,VALID
