lemma,language_code,status
"abide by sth",en,VALID
"accede to sth",en,VALID
"account for sth",en,VALID
"add sth up",en,VALID
"add up",en,VALID
"add up sth",en,VALID
"add up to sth",en,VALID
"adhere to sth",en,VALID
"agree with",en,VALID
"agree with sb",en,VALID
"aim sth at",en,VALID
"amount to sth",en,VALID
"arrange for something",en,VALID
"arrive at sth",en,VALID
"ascribe sth to sth",en,VALID
"ask around",en,VALID
"ask for",en,VALID
"ask for food",en,VALID
"ask out sb",en,VALID
"ask sb out",en,VALID
"associate sth with sth",en,VALID
"back off",en,VALID
"back onto sth",en,VALID
"back sth up",en,VALID
"back up",en,VALID
"back up sth",en,VALID
"bail out sb",en,VALID
"bail out sth",en,VALID
"bail sb out",en,VALID
"bail sth out",en,VALID
"balance out",en,VALID
"bang about",en,VALID
"bang around",en,VALID
"bang down sth",en,VALID
"bang sth down",en,VALID
"base sth on sth",en,VALID
"base sth upon sth",en,VALID
"bat around sth",en,VALID
"bat sth around",en,VALID
"bear on sth",en,VALID
"bear out sb",en,VALID
"bear out sth",en,VALID
"bear sb out",en,VALID
"bear sth out",en,VALID
"bear up",en,VALID
"bear upon sth",en,VALID
"beat down",en,VALID
"beaver away",en,VALID
"belt out sth",en,VALID
"belt sth out",en,VALID
"bend down",en,VALID
"blast out",en,VALID
"blast out sth",en,VALID
"blast sth out",en,VALID
"blend in sth",en,VALID
"blend into sth",en,VALID
"block in",en,VALID
"block in sb",en,VALID
"block in sth",en,VALID
"block out sth",en,VALID
"block sb in",en,VALID
"block sth in",en,VALID
"block sth out",en,VALID
"blot out sth",en,VALID
"blot sth out",en,VALID
"blots out",en,VALID
"blow out",en,VALID
"blow out sb",en,VALID
"blow sb out",en,VALID
"blow sth up",en,VALID
"blow up sth",en,VALID
"blunder about",en,VALID
"blunder around",en,VALID
"blurt out sth",en,VALID
"blurt sth out",en,VALID
"boil down",en,VALID
"bombard sb with sth",en,VALID
"boom out",en,VALID
"boom out sth",en,VALID
"boot sth up",en,VALID
"boot up",en,VALID
"boot up sth",en,VALID
"bore into sb",en,VALID
"boss about sb",en,VALID
"boss around sb",en,VALID
"boss sb about",en,VALID
"boss sb around",en,VALID
"botch sth up",en,VALID
"botch up sth",en,VALID
"bottom out",en,VALID
"bounce sth off sb",en,VALID
"bowl over sb",en,VALID
"bowl sb over",en,VALID
"box in sb",en,VALID
"box sb in",en,VALID
"branch off",en,VALID
"break down",en,VALID
"break down sth",en,VALID
"break into sth",en,VALID
"break off sth",en,VALID
"break out",en,VALID
"break out in sth",en,VALID
"break out into sth",en,VALID
"break sth down",en,VALID
"break sth off",en,VALID
